dataset,l2_fired,base_pub,base_prv,base_msl,base_mf,base_mf_fired,mf_0.7_pub,mf_0.7_prv,mf_0.7_msl,mf_0.7_mf,mf_0.7_mf_fired,mf_0.5_pub,mf_0.5_prv,mf_0.5_msl,mf_0.5_mf,mf_0.5_mf_fired
train_01,False,0.7102870983349717,0.7048178137651822,20,1,False,0.7102870983349717,0.7048178137651822,20,1,False,0.7102870983349717,0.7048178137651822,20,1,False
train_02,False,0.9643700590861614,0.9634800627240143,20,1,False,0.9643700590861614,0.9634800627240143,20,1,False,0.9643700590861614,0.9634800627240143,20,1,False
train_03,False,0.79257860385303,0.8095448403699343,20,1,False,0.79257860385303,0.8095448403699343,20,1,False,0.79257860385303,0.8095448403699343,20,1,False
train_04,False,0.8236471114650334,0.8249596159615962,20,1,False,0.8236471114650334,0.8249596159615962,20,1,False,0.8236471114650334,0.8249596159615962,20,1,False
train_05,False,0.6531348175078051,0.6568729335399399,20,1,False,0.6531348175078051,0.6568729335399399,20,1,False,0.6531348175078051,0.6568729335399399,20,1,False
train_06,False,0.7996932479509196,0.8137084747042992,20,1,False,0.7996932479509196,0.8137084747042992,20,1,False,0.7996932479509196,0.8137084747042992,20,1,False
train_07,False,0.823647674944289,0.826507438189261,20,1,False,0.823647674944289,0.826507438189261,20,1,False,0.823647674944289,0.826507438189261,20,1,False
train_08,False,0.8460265451826358,0.8411095500558378,20,1,False,0.8460265451826358,0.8411095500558378,20,1,False,0.8460265451826358,0.8411095500558378,20,1,False
train_09,True,0.6204240363998369,0.6334741379351727,50,1,False,0.6282522800705836,0.6351542564843375,50,0.7,True,0.6189473293413595,0.634016416198327,50,0.5,True
train_10,False,0.8368071738891478,0.8477427122593616,20,1,False,0.8368071738891478,0.8477427122593616,20,1,False,0.8368071738891478,0.8477427122593616,20,1,False
train_11,False,0.8281288505544799,0.8166544351437908,20,1,False,0.8281288505544799,0.8166544351437908,20,1,False,0.8281288505544799,0.8166544351437908,20,1,False
train_12,False,0.7948877046382947,0.7695051699332349,20,1,False,0.7948877046382947,0.7695051699332349,20,1,False,0.7948877046382947,0.7695051699332349,20,1,False
train_13,True,0.6283801935207741,0.644000096000384,50,1,False,0.6130972523890096,0.6304913219652878,50,0.7,True,0.6247021788087153,0.6380707922831691,50,0.5,True
train_14,False,0.7975249216637995,0.8044250066087149,20,1,False,0.7975249216637995,0.8044250066087149,20,1,False,0.7975249216637995,0.8044250066087149,20,1,False
train_15,True,0.8410969558065426,0.843626698522491,70,1,False,0.8445273136127973,0.8478489076208305,70,0.7,True,0.8382122476170445,0.8420361479740166,70,0.5,True
train_16,True,0.892160096009601,0.89325466058738,20,1,False,0.888571897189719,0.8887081558359105,20,0.7,True,0.8913408140814082,0.8890451235996477,20,0.5,True
