dataset,n_train,n_object_cols,l2,msl,bag_valid_k,bag_skipped_k,base_pub,base_prv,bag_pub,bag_prv,bag_d_pub,bag_d_prv,seedavg_pub,seedavg_prv,seedavg_d_pub,seedavg_d_prv
train_01,14957,5,0.0,20,10,,0.7102870983349717,0.7048178137651822,0.7040170022835258,0.6995055287961467,-0.006270096051445906,-0.005312284969035463,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044
train_02,14929,2,0.0,20,10,,0.9643700590861614,0.9634800627240143,0.9684343127265653,0.9667330709165388,0.00406425364040397,0.003253008192524498,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184
train_03,3501,7,0.0,20,10,,0.79257860385303,0.8095448403699343,0.7974666975812833,0.8107064060048734,0.004888093728253273,0.0011615656349390768,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855
train_04,8775,0,0.0,20,10,,0.8236471114650334,0.8249596159615962,0.8287708939325659,0.8297954595459546,0.005123782467532423,0.004835843584358401,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603
train_05,1060,5,0.0,20,10,,0.6531348175078051,0.6568729335399399,0.6543486658082492,0.665333047630219,0.0012138483004441314,0.008460114090279136,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419
train_06,10803,9,0.0,20,10,,0.7996932479509196,0.8137084747042992,0.7932343669174988,0.8015677353967614,-0.006458881033420738,-0.012140739307537785,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236
train_07,10417,6,0.0,20,10,,0.823647674944289,0.826507438189261,0.8305383055078794,0.8299214659979122,0.006890630563590405,0.0034140278086511877,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125
train_08,8173,12,0.0,20,10,,0.8460265451826358,0.8411095500558378,0.8399166525823039,0.8367330715563721,-0.006109892600331901,-0.0043764784994656525,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438
train_09,1109,4,1.0,50,10,,0.6204240363998369,0.6334741379351727,0.6202416083496998,0.6348161526277294,-0.00018242805013712893,0.0013420146925566812,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532
train_10,11800,0,0.0,20,10,,0.8368071738891478,0.8477427122593616,0.8479470156715226,0.8585708892988639,0.011139841782374815,0.01082817703950234,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145
train_11,28879,0,0.0,20,10,,0.8281288505544799,0.8166544351437908,0.8323203341281145,0.8265579662115388,0.004191483573634525,0.009903531067747995,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076
train_12,49432,3,0.0,20,10,,0.7948877046382947,0.7695051699332349,0.7922342608173356,0.7682522067256492,-0.0026534438209591116,-0.0012529632075857222,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617
train_13,500,4,1.0,50,10,,0.6283801935207741,0.644000096000384,0.621996567986272,0.6378291113164453,-0.006383625534502113,-0.0061709846839387295,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516
train_14,11108,15,0.0,20,10,,0.7975249216637995,0.8044250066087149,0.7975529217354798,0.8036232398896265,2.800007168024532e-05,-0.0008017667190883815,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749
train_15,500,24,1.0,70,10,,0.8410969558065426,0.843626698522491,0.8542055916200767,0.8601882380883561,0.013108635813534053,0.016561539565865147,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342
train_16,1809,0,1.0,20,10,,0.892160096009601,0.89325466058738,0.8915606760676067,0.8888081581399636,-0.0005994199419943058,-0.0044465024474164005,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146
