dataset,n_train,n_object_cols,l2_fired,msl,seed_var,seed_disagree,logloss_impr,brier_impr,holdout_auc,liftR1,liftR10,base_pub,base_prv,avg_pub,avg_prv,d_pub,d_prv,test_gain,fires_C,fires_D
train_01,14957,5,False,20,0.0013361730140061144,0.04457344143679625,0.002173884209613597,0.0009327669249031889,0.7114457361015786,0.004513126286890823,0.0027874485243651213,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.7076811060792754,0.0031168079790285796,0.002863292314093213,GAIN,True,True
train_02,14929,2,False,20,0.0036038647779709602,0.05546534272791942,0.008458854794064021,0.0031596054183699583,0.9609524670679652,0.0014415748818062957,0.003427974360520003,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.9669652457757297,0.003708885452720745,0.0034851830517154125,GAIN,True,True
train_03,3501,7,False,20,0.0040177807581170556,0.07469507139081648,0.0075533021196713904,0.003101627483800809,0.7973945409429279,0.012224492774777329,0.006519903246658476,0.79257860385303,0.8095448403699343,0.7994244632865726,0.8160000985706614,0.006845859433542545,0.00645525820072701,GAIN,True,True
train_04,8775,0,False,20,0.0026356627013209713,0.05780596244623838,0.006686822517132174,0.002789099402800435,0.823703506730929,0.0038299817184642704,0.005904437427289333,0.8236471114650334,0.8249596159615962,0.829953379132697,0.8329789778977896,0.006306267667663512,0.008019361936193459,GAIN,False,True
train_05,1060,5,False,20,0.005082310032155623,0.08840099843348119,0.012389015350331989,0.005018110042955484,0.6661188333143443,0.006323345106528655,0.013190725760510447,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.6607057613718614,0.0028691615242530943,0.0038328278319215148,GAIN,True,True
train_06,10803,9,False,20,0.0008137435318571462,0.03352217732645125,0.0013377862925940231,0.0005126516267345033,0.8090564170331298,-0.000400002193294946,0.0011729468016274613,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.8141016808321695,0.0005279200844673371,0.00039320612787030473,GAIN,True,True
train_07,10417,6,False,20,0.00280368451100911,0.06181111523432581,0.0070300451984853015,0.002929554737401438,0.8195879643713697,0.01040878122634381,0.006468006631434242,0.823647674944289,0.826507438189261,0.8289275898076023,0.8291196903769802,0.005279914863313251,0.0026122521877192106,GAIN,True,True
train_08,8173,12,False,20,0.0013987176731642826,0.042212831337133605,0.0038703555156797964,0.0013749803719831726,0.8442127873563219,0.003085249042145577,0.0025237068965516807,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.8428696999171441,0.0031286491303545994,0.0017601498613063482,GAIN,True,True
train_09,1109,4,True,50,0.003058599282931792,0.06901357580891469,0.0072471361681795575,0.0030457370710443967,0.6099736038507324,0.047461311526318495,0.007991304797888333,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.6398176255316574,0.009847594166078943,0.0063434875964847315,GAIN,True,True
train_10,11800,0,False,20,0.003861704613535465,0.07280915045524482,0.008014091943105123,0.0034957781097552125,0.838005967196507,0.010688277644249178,0.008152793693212923,0.8368071738891478,0.8477427122593616,0.8446204551392729,0.8570319622208364,0.007813281250125037,0.009289249961474844,GAIN,False,True
train_11,28879,0,False,20,0.002251315518354104,0.055773561774590585,0.007153150922348539,0.002961451256028422,0.8099482479894405,0.005638767574531078,0.007384742791179977,0.8281288505544799,0.8166544351437908,0.8315520634971435,0.8213746182452055,0.003423212942663567,0.004720183101414754,GAIN,False,True
train_12,49432,3,False,20,0.00035433725072444737,0.020946902143625167,0.0006823212516481325,0.0002830933756863302,0.7876645817533414,0.0007272529263179228,0.0007182012048402298,0.7948877046382947,0.7695051699332349,0.7961028263880701,0.7715084550616449,0.0012151217497753386,0.0020032851284099706,GAIN,True,True
train_13,500,4,True,50,0.0025362811702348397,0.06273186815070877,0.02054034653649859,0.008173656604947477,0.6471454173067076,-0.01817716333845365,0.01621863799283154,0.6283801935207741,0.644000096000384,0.6353388613554454,0.6490994763979057,0.0069586678346712505,0.005099380397521669,GAIN,True,True
train_14,11108,15,False,20,0.0018716986194813284,0.04846846432013873,0.005162902958843274,0.0021251329030927747,0.7988759704758228,0.005926131100024712,0.004998870365120855,0.7975249216637995,0.8044250066087149,0.8019428529737036,0.8073844467017552,0.0044179313099040884,0.0029594400930403886,GAIN,True,True
train_15,500,24,True,70,0.004022372848908743,0.07723590525665522,0.013144577125458384,0.00539764672591109,0.8420378904249872,0.0007680491551459445,0.011904761904761928,0.8410969558065426,0.843626698522491,0.851260780341376,0.8563091705050022,0.010163824534833332,0.012682471982511268,GAIN,True,True
train_16,1809,0,True,20,0.005931158243107281,0.08398792774056336,0.017937890882498603,0.005083310006990508,0.8616467194261432,-0.0017933024053641278,0.007181006588437122,0.892160096009601,0.89325466058738,0.8897764976497649,0.8886729550248839,-0.0023835983598361477,-0.004581705562496152,REG,False,False
