dataset,n_train,n_object_cols,fires,msl,base_is_seed0,obj0_identical,base_pub,base_prv,mean_pub,mean_d_pub,mean_prv,mean_d_prv,median_pub,median_d_pub,median_prv,median_d_prv,trim10_pub,trim10_d_pub,trim10_prv,trim10_d_prv
train_01,14957,5,True,20,True,,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044,0.7137543072110264,0.0034672088760546727,0.7080515594245571,0.0032337456593749536,0.7139263076513476,0.0036392093163758465,0.7084549775167623,0.003637163751580186
train_02,14929,2,True,20,True,,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184,0.968611756814877,0.004241697728715632,0.9674686379928314,0.003988575268817129,0.9687096790710058,0.004339619984844445,0.9675510432667691,0.004070980542754787
train_03,3501,7,True,20,True,,0.79257860385303,0.8095448403699343,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855,0.8006653683167742,0.008086764463744123,0.8166004835082963,0.007055643138361933,0.8005283967234986,0.007949792870468597,0.8168669123252371,0.007322071955302767
train_04,8775,0,False,20,,True,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419,0.662084435393519,0.008949617885713912,0.6645263470707137,0.007653413530773756,0.6618061466720946,0.008671329164289476,0.6650615603262713,0.008188626786331366
train_06,10803,9,True,20,True,,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236,0.8002665280426444,0.0005732800917248593,0.8138509059024288,0.00014243119812962224,0.8002001280320205,0.0005068800811008911,0.8142407512941636,0.0005322765898644333
train_07,10417,6,True,20,True,,0.823647674944289,0.826507438189261,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125,0.8295021024120728,0.0058544274677837516,0.8286459866169086,0.002138548427647602,0.8296813375421581,0.006033662597869083,0.8288133832834743,0.0023059450942133353
train_08,8173,12,True,20,True,,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438,0.8494973002837357,0.0034707551010999538,0.8433164018876762,0.002206851831838441,0.8496447859689018,0.003618240786266047,0.8429534365230895,0.001843886467251754
train_09,1109,4,True,50,True,,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532,0.6319147632139918,0.011490726814154861,0.6429023231879242,0.009428185252751464,0.6317185730477919,0.011294536647954989,0.6426979887700877,0.009223850834914948
train_10,11800,0,False,20,,True,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
train_11,28879,0,False,20,,True,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0
train_12,49432,3,True,20,True,,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.0015832022798113465,0.7718418959152535,0.002336725982018617,0.796576827070631,0.0016891224323363208,0.7717797357561236,0.0022745658228886523,0.7964466668832003,0.0015589622449055929,0.7718694959859097,0.002364326052674781
train_13,500,4,True,50,True,,0.6283801935207741,0.644000096000384,0.6357132628530514,0.007333069332277287,0.6502162808651235,0.006216184864739516,0.6354246216984868,0.007044428177712669,0.6501111604446418,0.006111064444257797,0.6355867823471294,0.007206588826355276,0.6501127604510418,0.006112664450657834
train_14,11108,15,True,20,True,,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.0035116889899238224,0.8084732044617946,0.004048197853079749,0.8007327698758908,0.003207848212091302,0.8081758923045117,0.003750885695796846,0.8009871705271565,0.003462248863356998,0.8085410518001627,0.004116045191447815
train_15,500,24,True,70,True,,0.8410969558065426,0.843626698522491,0.8525452737923801,0.011448317985837453,0.8573192293208023,0.013692530798311342,0.8522118657103313,0.011114909903788606,0.8562754005144881,0.012648701991997191,0.8524788482743532,0.011381892467810517,0.8573779666976677,0.0137512681751768
train_16,1809,0,False,20,,True,0.892160096009601,0.89325466058738,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0
