dataset,n_train,n_object_cols,l2_fired,msl,ever_fires,fires_2000,fires_4000,fires_8500,fires_15000,base_pub,base_prv,cand_2000_pub,cand_2000_d_pub,cand_2000_prv,cand_2000_d_prv,cand_4000_pub,cand_4000_d_pub,cand_4000_prv,cand_4000_d_prv,cand_8500_pub,cand_8500_d_pub,cand_8500_prv,cand_8500_d_prv,cand_15000_pub,cand_15000_d_pub,cand_15000_prv,cand_15000_d_prv
train_01,14957,5,False,20,True,False,False,False,True,0.7102870983349717,0.7048178137651822,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213
train_02,14929,2,False,20,True,False,False,False,True,0.9643700590861614,0.9634800627240143,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125
train_03,3501,7,False,20,True,False,True,True,True,0.79257860385303,0.8095448403699343,0.79257860385303,0.0,0.8095448403699343,0.0,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701
train_04,8775,0,False,20,False,False,False,False,False,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,False,20,True,True,True,True,True,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148
train_06,10803,9,False,20,True,False,False,False,True,0.7996932479509196,0.8137084747042992,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473
train_07,10417,6,False,20,True,False,False,False,True,0.823647674944289,0.826507438189261,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106
train_08,8173,12,False,20,True,False,False,True,True,0.8460265451826358,0.8411095500558378,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482
train_09,1109,4,True,50,True,True,True,True,True,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315
train_10,11800,0,False,20,False,False,False,False,False,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
