dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,cand_niter20_pub,cand_niter20_prv,d_pub,d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0.7068055694222577,0.7029335424301099,-0.003481528912714027,-0.0018842713350722962
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0.9644766215413603,0.9635882296466974,0.00010656245519891083,0.00010816692268311723
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,0.788203993586017,0.808413678023415,-0.004374610267013024,-0.0011311623465193321
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0.823594780613708,0.8244400440044004,-5.2330851325388394e-05,-0.0005195719571957635
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0.6517791813441136,0.655919807467253,-0.0013556361636914982,-0.0009531260726869384
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0.7973636475781836,0.811609374917482,-0.002329600372735996,-0.0020990997868172157
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0.8250348268260579,0.826883520566345,0.0013871518817688555,0.00037608237708397496
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0.8447992050017412,0.8404320520671975,-0.0012273401808945428,-0.0006774979886402521
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0.6186610453223288,0.6321364435474567,-0.0017629910775081026,-0.0013376943877160263
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0.8369007739041239,0.8479643420818704,9.360001497604742e-05,0.00022162982250883978
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0.8283685650733706,0.8168323045405848,0.00023971451889071016,0.00017786939679398373
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0.7943037037973335,0.7692518892848366,-0.0005840008409612185,-0.0002532806483983574
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,0.6116850867403469,0.6248897795591182,-0.016695106780427182,-0.019110316441265818
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0.7967692397292536,0.8043021933252301,-0.0007556819345458932,-0.00012281328348473508
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0.8416783791661404,0.8448387370919813,0.0005814233595977658,0.0012120385694903701
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0.8925433343334334,0.893217059721056,0.0003832383238323578,-3.760086632398352e-05
