dataset,fires,l2_fired,msl,base_pub,base_prv,K3_pub,K3_d_pub,K3_prv,K3_d_prv,K5_pub,K5_d_pub,K5_prv,K5_d_prv,K10_pub,K10_d_pub,K10_prv,K10_d_prv
train_01,False,False,20,0.7102870983349717,0.7048178137651822,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0
train_02,False,False,20,0.9643700590861614,0.9634800627240143,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0
train_03,False,False,20,0.79257860385303,0.8095448403699343,0.79257860385303,0.0,0.8095448403699343,0.0,0.79257860385303,0.0,0.8095448403699343,0.0,0.79257860385303,0.0,0.8095448403699343,0.0
train_04,False,False,20,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,False,False,20,0.6531348175078051,0.6568729335399399,0.6531348175078051,0.0,0.6568729335399399,0.0,0.6531348175078051,0.0,0.6568729335399399,0.0,0.6531348175078051,0.0,0.6568729335399399,0.0
train_06,False,False,20,0.7996932479509196,0.8137084747042992,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0
train_07,False,False,20,0.823647674944289,0.826507438189261,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0
train_08,False,False,20,0.8460265451826358,0.8411095500558378,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0
train_09,True,True,50,0.6204240363998369,0.6334741379351727,0.6311245617126089,0.010700525312771991,0.64029461918833,0.006820481253157262,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532
train_10,False,False,20,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
train_11,False,False,20,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8281288505544799,0.0,0.8166544351437908,0.0
train_12,False,False,20,0.7948877046382947,0.7695051699332349,0.7948877046382947,0.0,0.7695051699332349,0.0,0.7948877046382947,0.0,0.7695051699332349,0.0,0.7948877046382947,0.0,0.7695051699332349,0.0
train_13,True,True,50,0.6283801935207741,0.644000096000384,0.6318171672686691,0.003436973747894978,0.646378105512422,0.0023780095120380373,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669,0.6357132628530514,0.007333069332277287,0.6502162808651235,0.006216184864739516
train_14,False,False,20,0.7975249216637995,0.8044250066087149,0.7975249216637995,0.0,0.8044250066087149,0.0,0.7975249216637995,0.0,0.8044250066087149,0.0,0.7975249216637995,0.0,0.8044250066087149,0.0
train_15,True,True,70,0.8410969558065426,0.843626698522491,0.8475254253674092,0.006428469560866512,0.8517018874863941,0.008075188963903135,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268,0.8525452737923801,0.011448317985837453,0.8573192293208023,0.013692530798311342
train_16,False,True,20,0.892160096009601,0.89325466058738,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0
