dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,noint_pub,noint_prv,noint_d_pub,noint_d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0.7051898052859016,0.6984327343137412,-0.00509729304907014,-0.006385079451440956
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0.8235468145186065,0.8258626152073734,-0.1408232445675549,-0.13761744751664096
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,0.7934442771236156,0.8107649723394081,0.0008656732705856207,0.0012201319694737922
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0.7464664672866566,0.7585827382738274,-0.07718064417837689,-0.06637687768776879
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0.6647677506789396,0.6696180342462871,0.011632933171134452,0.012745100706347157
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0.7998781279805005,0.8123503372178643,0.00018488002958094718,-0.0013581374864348739
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0.7382122095930803,0.7297665680690698,-0.08543546535120872,-0.09674087012019117
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0.8557275501659394,0.8509242648030068,0.009701004983303618,0.009814714747168996
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0.6144772020145819,0.6308429122758903,-0.0059468343852550065,-0.0026312256592824212
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0.6400993024158884,0.6313405531848365,-0.1967078714732594,-0.2164021590745251
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0.731999807972348,0.704812047601757,-0.09612904258213195,-0.1118423875420338
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0.7205615176085853,0.6973104251146883,-0.07432618702970939,-0.0721947448185466
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,0.6365312661250645,0.6415498461993848,0.008151072604290377,-0.0024502498009991713
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0.7209573656508561,0.7300423213774802,-0.0765675560129434,-0.0743826852312347
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0.8492659340012059,0.8502455366395595,0.008168978194663223,0.006618838117068537
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0.7783589558955896,0.7867301262621091,-0.11380114011401143,-0.10652453432527087
