[OK] train_05 seed_05 (n=1060, ratio=0.00849, n_obj=5, l2=0.0, msl=20, n_iter=12): pub=0.652638 prv=0.651788
[OK] train_05 seed_06 (n=1060, ratio=0.00849, n_obj=5, l2=0.0, msl=20, n_iter=19): pub=0.655293 prv=0.652069
[OK] train_05 seed_07 (n=1060, ratio=0.00849, n_obj=5, l2=0.0, msl=20, n_iter=24): pub=0.653174 prv=0.666543
[OK] train_05 seed_08 (n=1060, ratio=0.00849, n_obj=5, l2=0.0, msl=20, n_iter=24): pub=0.656354 prv=0.664120
[OK] train_05 seed_09 (n=1060, ratio=0.00849, n_obj=5, l2=0.0, msl=20, n_iter=21): pub=0.662678 prv=0.656189
[OK] train_06 seed_00 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=48): pub=0.799693 prv=0.813708
[OK] train_06 seed_01 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=42): pub=0.800356 prv=0.811804
[OK] train_06 seed_02 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=36): pub=0.798827 prv=0.811275
[OK] train_06 seed_03 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=43): pub=0.797725 prv=0.813524
[OK] train_06 seed_04 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=41): pub=0.797632 prv=0.812812
[OK] train_06 seed_05 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=39): pub=0.800081 prv=0.813711
[OK] train_06 seed_06 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=30): pub=0.798876 prv=0.812788
[OK] train_06 seed_07 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=64): pub=0.795775 prv=0.811607
[OK] train_06 seed_08 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=46): pub=0.798161 prv=0.811366
[OK] train_06 seed_09 (n=10803, ratio=0.00083, n_obj=9, l2=0.0, msl=20, n_iter=50): pub=0.799287 prv=0.812237
[OK] train_07 seed_00 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=67): pub=0.823648 prv=0.826507
[OK] train_07 seed_01 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=85): pub=0.821936 prv=0.824510
[OK] train_07 seed_02 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=163): pub=0.822394 prv=0.818511
[OK] train_07 seed_03 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=77): pub=0.823179 prv=0.824019
[OK] train_07 seed_04 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=103): pub=0.824193 prv=0.824618
[OK] train_07 seed_05 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=90): pub=0.824031 prv=0.819433
[OK] train_07 seed_06 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=102): pub=0.821421 prv=0.822436
[OK] train_07 seed_07 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=84): pub=0.823429 prv=0.823760
[OK] train_07 seed_08 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=93): pub=0.822207 prv=0.822282
[OK] train_07 seed_09 (n=10417, ratio=0.00163, n_obj=6, l2=0.0, msl=20, n_iter=102): pub=0.824870 prv=0.824279
[OK] train_08 seed_00 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=51): pub=0.846027 prv=0.841110
[OK] train_08 seed_01 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=57): pub=0.846310 prv=0.839374
[OK] train_08 seed_02 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=34): pub=0.847000 prv=0.842079
[OK] train_08 seed_03 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=47): pub=0.848430 prv=0.841294
[OK] train_08 seed_04 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=40): pub=0.847384 prv=0.840404
[OK] train_08 seed_05 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=34): pub=0.849042 prv=0.841334
[OK] train_08 seed_06 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=44): pub=0.847004 prv=0.838454
[OK] train_08 seed_07 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=52): pub=0.847680 prv=0.840581
[OK] train_08 seed_08 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=55): pub=0.846820 prv=0.841469
[OK] train_08 seed_09 (n=8173, ratio=0.00147, n_obj=12, l2=0.0, msl=20, n_iter=42): pub=0.847603 prv=0.839501
[OK] train_09 seed_00 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=32): pub=0.620424 prv=0.633474
[OK] train_09 seed_01 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=23): pub=0.628492 prv=0.634440
[OK] train_09 seed_02 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=19): pub=0.625631 prv=0.634475
[OK] train_09 seed_03 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=32): pub=0.618149 prv=0.628283
[OK] train_09 seed_04 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=12): pub=0.618902 prv=0.628432
[OK] train_09 seed_05 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=23): pub=0.631599 prv=0.637314
[OK] train_09 seed_06 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=16): pub=0.614260 prv=0.632380
[OK] train_09 seed_07 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=28): pub=0.622721 prv=0.638370
[OK] train_09 seed_08 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=19): pub=0.617233 prv=0.638735
[OK] train_09 seed_09 (n=1109, ratio=0.01623, n_obj=4, l2=1.0, msl=50, n_iter=54): pub=0.619411 prv=0.625569
[OK] train_10 seed_00 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=134): pub=0.836807 prv=0.847743
[OK] train_10 seed_01 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=77): pub=0.838127 prv=0.848005
[OK] train_10 seed_02 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=98): pub=0.837845 prv=0.847566
[OK] train_10 seed_03 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=128): pub=0.834448 prv=0.848570
[OK] train_10 seed_04 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=67): pub=0.838668 prv=0.854012
[OK] train_10 seed_05 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=75): pub=0.838854 prv=0.849348
[OK] train_10 seed_06 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=83): pub=0.835521 prv=0.849691
[OK] train_10 seed_07 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=120): pub=0.833149 prv=0.846650
[OK] train_10 seed_08 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=85): pub=0.836837 prv=0.852199
[OK] train_10 seed_09 (n=11800, ratio=0.00229, n_obj=0, l2=0.0, msl=20, n_iter=70): pub=0.838477 prv=0.849424
[OK] train_11 seed_00 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=176): pub=0.828129 prv=0.816654
[OK] train_11 seed_01 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=122): pub=0.825948 prv=0.815104
