dataset,n_train,n_object_cols,gate_c,l2,msl,base_public,base_private,blend_public,blend_private,delta_public,delta_private
train_01,14957,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0.7037814016803883,0.698829911507257,-0.006505696654583448,-0.005987902257925115
train_02,14929,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0.960423488157167,0.9605005120327701,-0.0039465709289943085,-0.002979550691244226
train_03,3501,7,True,0.0,20,0.79257860385303,0.8095448403699343,0.7932244985215549,0.808010354399932,0.0006458946685248268,-0.001534485970002386
train_04,8775,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8266078053945266,0.8300742074207421,0.0029606939294931633,0.005114591459145945
train_05,1060,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0.656456658814663,0.666284653438015,0.0033218413068578645,0.0094117198980751
train_06,10803,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0.787696606031457,0.8005591944859602,-0.011996641919462592,-0.013149280218338943
train_07,10417,6,True,0.0,20,0.823647674944289,0.826507438189261,0.8125415781493173,0.8141092824972382,-0.011106096794971765,-0.012398155692022739
train_08,8173,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0.8423910190420585,0.8384187710892561,-0.003635526140577272,-0.002690778966581653
train_09,1109,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6259524864543172,0.6349412814568196,0.005528450054480327,0.0014671435216468964
train_10,11800,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0.824735411957666,0.8361128273420471,-0.01207176193148185,-0.011629884917314537
train_11,28879,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8279633067161671,0.8185177411515178,-0.00016554383831279829,0.0018633060077269947
train_12,49432,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0.7847042499741199,0.7636728350024575,-0.010183454664174807,-0.005832334930777394
train_13,500,4,True,1.0,50,0.6283801935207741,0.644000096000384,0.6220064080256321,0.6428592914371658,-0.006373785495142004,-0.0011408045632181896
train_14,11108,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0.7754913452578438,0.7822790112978619,-0.022033576405955713,-0.02214599531085293
train_15,500,24,True,1.0,70,0.8410969558065426,0.843626698522491,0.8498806501505619,0.8525383749528461,0.008783694344019266,0.008911676430355175
train_16,1809,0,False,1.0,20,0.892160096009601,0.89325466058738,0.8873332133213321,0.8854773613984067,-0.004826882688268919,-0.007777299188973297
