dataset,l2_fired,msl_fired,msl50_pub,msl50_prv,msl50_msl,msl40_pub,msl40_prv,msl40_msl,msl60_pub,msl60_prv,msl60_msl,msl70_pub,msl70_prv,msl70_msl
train_01,False,False,0.7102870983349717,0.7048178137651822,20,0.7102870983349717,0.7048178137651822,20,0.7102870983349717,0.7048178137651822,20,0.7102870983349717,0.7048178137651822,20
train_02,False,False,0.9643700590861614,0.9634800627240143,20,0.9643700590861614,0.9634800627240143,20,0.9643700590861614,0.9634800627240143,20,0.9643700590861614,0.9634800627240143,20
train_03,False,False,0.79257860385303,0.8095448403699343,20,0.79257860385303,0.8095448403699343,20,0.79257860385303,0.8095448403699343,20,0.79257860385303,0.8095448403699343,20
train_04,False,False,0.8236471114650334,0.8249596159615962,20,0.8236471114650334,0.8249596159615962,20,0.8236471114650334,0.8249596159615962,20,0.8236471114650334,0.8249596159615962,20
train_05,False,False,0.6531348175078051,0.6568729335399399,20,0.6531348175078051,0.6568729335399399,20,0.6531348175078051,0.6568729335399399,20,0.6531348175078051,0.6568729335399399,20
train_06,False,False,0.7996932479509196,0.8137084747042992,20,0.7996932479509196,0.8137084747042992,20,0.7996932479509196,0.8137084747042992,20,0.7996932479509196,0.8137084747042992,20
train_07,False,False,0.823647674944289,0.826507438189261,20,0.823647674944289,0.826507438189261,20,0.823647674944289,0.826507438189261,20,0.823647674944289,0.826507438189261,20
train_08,False,False,0.8460265451826358,0.8411095500558378,20,0.8460265451826358,0.8411095500558378,20,0.8460265451826358,0.8411095500558378,20,0.8460265451826358,0.8411095500558378,20
train_09,True,True,0.6204240363998369,0.6334741379351727,50,0.6115649142212107,0.6218613185346358,40,0.6190415838339303,0.6322967748604342,60,0.6182654644978213,0.6293780089123088,70
train_10,False,False,0.8368071738891478,0.8477427122593616,20,0.8368071738891478,0.8477427122593616,20,0.8368071738891478,0.8477427122593616,20,0.8368071738891478,0.8477427122593616,20
train_11,False,False,0.8281288505544799,0.8166544351437908,20,0.8281288505544799,0.8166544351437908,20,0.8281288505544799,0.8166544351437908,20,0.8281288505544799,0.8166544351437908,20
train_12,False,False,0.7948877046382947,0.7695051699332349,20,0.7948877046382947,0.7695051699332349,20,0.7948877046382947,0.7695051699332349,20,0.7948877046382947,0.7695051699332349,20
train_13,True,True,0.6283801935207741,0.644000096000384,50,0.6220528882115528,0.6314480457921832,40,0.6286220344881379,0.6453497013988057,60,0.6304136416545666,0.6415155260621043,70
train_14,False,False,0.7975249216637995,0.8044250066087149,20,0.7975249216637995,0.8044250066087149,20,0.7975249216637995,0.8044250066087149,20,0.7975249216637995,0.8044250066087149,20
train_15,True,True,0.8372473969600162,0.8395945456503853,50,0.8376806834113393,0.8359240997856807,40,0.8388546544040358,0.8394332979468646,60,0.8410969558065426,0.843626698522491,70
train_16,True,False,0.892160096009601,0.89325466058738,20,0.892160096009601,0.89325466058738,20,0.892160096009601,0.89325466058738,20,0.892160096009601,0.89325466058738,20
