dataset,n_train,n_object_cols,fires,msl,equiv_ok,base_pub,base_prv,cand_K5_hf010_pub,cand_K5_hf010_d_pub,cand_K5_hf010_prv,cand_K5_hf010_d_prv,cand_K8_hf010_pub,cand_K8_hf010_d_pub,cand_K8_hf010_prv,cand_K8_hf010_d_prv,cand_K5_hf015_pub,cand_K5_hf015_d_pub,cand_K5_hf015_prv,cand_K5_hf015_d_prv,cand_K8_hf015_pub,cand_K8_hf015_d_pub,cand_K8_hf015_prv,cand_K8_hf015_d_prv,cand_K5_hf020_pub,cand_K5_hf020_d_pub,cand_K5_hf020_prv,cand_K5_hf020_d_prv,cand_K8_hf020_pub,cand_K8_hf020_d_pub,cand_K8_hf020_prv,cand_K8_hf020_d_prv,cand_K5_hf025_pub,cand_K5_hf025_d_pub,cand_K5_hf025_prv,cand_K5_hf025_d_prv,cand_K8_hf025_pub,cand_K8_hf025_d_pub,cand_K8_hf025_prv,cand_K8_hf025_d_prv
train_01,14957,5,True,20,True,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.7140411879454412,0.0037540896104695243,0.7082008609239729,0.003383047158790786,0.7155551118210863,0.005268013486114609,0.707530044326383,0.0027122305612008457,0.7154773516220201,0.005190253287048363,0.7081398921444688,0.0033220783792866637,0.7154298315003687,0.005142733165396929,0.7081382919140358,0.0033204781488536117,0.7153693513455394,0.005082253010567639,0.7083412011329632,0.003523387367781017,0.7160762331551569,0.005789134820185171,0.7091925237234162,0.00437470995823408,0.7158565525927747,0.005569454257802975,0.7089649709558177,0.00414715719063552
train_02,14929,2,True,20,True,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.9686216770434393,0.004251617957277909,0.9672985471070148,0.0038184843830004755,0.9679645419030456,0.003594482816884237,0.9667167498719917,0.003236687147977424,0.9687459999078378,0.004375940821676472,0.9675243215565796,0.004044258832565317,0.9682459883875724,0.0038759293014110074,0.9668660394265232,0.0033859767025088416,0.9689343242468307,0.004564265160669323,0.9672908666154634,0.003810803891449055,0.9676765352673724,0.003306476181211049,0.9672635048643113,0.003783442140297022,0.9681594263931841,0.0037893673070227285,0.9677849782386074,0.004304915514593111
train_03,3501,7,True,20,True,0.79257860385303,0.8095448403699343,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.8003866247239166,0.007808020870886612,0.8169717236616313,0.00742688329169694,0.798702322164548,0.006123718311517923,0.8151582475160514,0.005613407146117022,0.7999088242828873,0.007330220429857315,0.8160951488512999,0.006550308481365508,0.7998622603417154,0.007283656488685342,0.8159304910419112,0.006385650671976828,0.8003778239790216,0.007799220125991546,0.8165883221929284,0.00704348182299408,0.7993436564470817,0.00676505259405169,0.8171707851921264,0.007625944822192032,0.8006010428722686,0.008022439019238603,0.8176260344318842,0.008081194061949848
train_04,8775,0,False,20,,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.659430438954397,0.006295621446591904,0.66358762350752,0.0067146899675800675,0.655103345728957,0.0019685282211518995,0.6564509400117877,-0.00042199352815219804,0.6584714082771108,0.005336590769305705,0.6602639243861851,0.0033909908462451677,0.6528321765206027,-0.0003026409872024516,0.6588793631402334,0.0020064296002935134,0.6578469008297234,0.004712083321918303,0.6628462943383255,0.0059733607983856185,0.6534220781166215,0.0002872606088163421,0.6629522327970426,0.0060792992571027105,0.6584897525825818,0.00535493507477669,0.664869366838478,0.007996433298538053
train_06,10803,9,True,20,True,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.8000738880118221,0.00038064006090254843,0.8143149275417287,0.0006064528374295497,0.8007947681271629,0.0011015201762433202,0.8140597516480009,0.00035127694370173934,0.8009484481517517,0.0012552002008321406,0.8140619921387581,0.0003535174344588832,0.7996279679404749,-6.528001044470155e-05,0.8140498294746481,0.0003413547703489117,0.799868767979003,0.00017552002808340905,0.8138744310553783,0.00016595635107907736,0.80054068808651,0.0008474401355904604,0.8133856840002234,-0.0003227907040758149,0.8006997281119566,0.0010064801610369933,0.8139366846914148,0.0002282099871155907
train_07,10417,6,True,20,True,0.823647674944289,0.826507438189261,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.8293107048981601,0.005663029953871024,0.828779615887064,0.0022721776978029684,0.8268699065016744,0.0032222315573853244,0.828753050068087,0.0022456118788259927,0.8271523618629251,0.003504686918636035,0.8293032505840079,0.0027958123947469105,0.8277732835635785,0.004125608619289456,0.8282711845202573,0.0017637463309962964,0.8284343731371349,0.0047866981928458285,0.8293080516356302,0.002800613446369171,0.8279096302875363,0.004261955343247248,0.8295975550484579,0.003090116859196912,0.829293421510616,0.005645746566326992,0.830405732071553,0.0038982938822920143
train_08,8173,12,True,20,True,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8496740750414848,0.0036475298588490856,0.8427448154952748,0.0016352654394370392,0.8488232514903817,0.0027967063077459775,0.8419689309973543,0.0008593809415164966,0.8494367215188577,0.0034101763362219817,0.8426665225692568,0.0015569725134190193,0.8491462315366807,0.003119686354044915,0.8424731118235929,0.0013635617677550949,0.8494243977014321,0.0033978525187963182,0.8430113957034956,0.0019018456476578294,0.8500332262921761,0.004006681109540389,0.8439899772246038,0.00288042716876602,0.8498440476922131,0.003817502509577353,0.8440276026593979,0.0029180526035601506
train_09,1109,4,True,50,True,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6315982345445436,0.01117419814470666,0.6424482111457783,0.008974073210605615,0.6276481871852616,0.00722415078542471,0.6420097802100916,0.008535642274918875,0.6286027339563731,0.008178697556536219,0.6429130439443806,0.009438906009207937,0.6270060084438582,0.006581972044021334,0.641721919898668,0.008247781963495293,0.6279155883008571,0.007491551901020244,0.64321130498968,0.009737167054507334,0.6285996934888709,0.008175657089034005,0.642625983689409,0.009151845754236332,0.6295681624006507,0.009144126000813824,0.6430197714750754,0.009545633539902676
train_10,11800,0,False,20,,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
