dataset,n_train,n_object_cols,gate_c,l2,msl,base_public,base_private,blend_public,blend_private,delta_public,delta_private
train_01,14957,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0.7122455033484886,0.7042363700372853,0.0019584050135168507,-0.0005814437278968132
train_02,14929,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0.9592052200882709,0.959371079749104,-0.005164838997890442,-0.004108982974910358
train_03,3501,7,True,0.0,20,0.79257860385303,0.8095448403699343,0.7973305260557253,0.813403097679045,0.004751922202695269,0.003858257309110602
train_04,8775,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8259218231492482,0.8298090609060906,0.0022747116842147808,0.004849444944494463
train_05,1060,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6620896422924518,0.6726431213374617,0.008954824784646709,0.015770187797521817
train_06,10803,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0.794213087074094,0.8066179615983083,-0.005480160876825568,-0.007090513105990848
train_07,10417,6,True,0.0,20,0.823647674944289,0.826507438189261,0.8249756952362663,0.82567293539977,0.0013280202919773165,-0.0008345027894909318
train_08,8173,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0.8454978214051585,0.8404727195584216,-0.000528723777477258,-0.000636830497416141
train_09,1109,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6299058943303123,0.6453987393350474,0.009481857930475401,0.011924601399874724
train_10,11800,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0.829337012693922,0.8442830467267677,-0.007470161195225811,-0.003459665532593914
train_11,28879,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8312371381478934,0.8168811345730078,0.003108287593413417,0.00022669942921704767
train_12,49432,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0.7898967374513018,0.7666770026931269,-0.0049909671869928784,-0.002828167240108037
train_13,500,4,True,1.0,50,0.6283801935207741,0.644000096000384,0.6287749150996604,0.6462961051844207,0.00039472157888631454,0.002296009184036718
train_14,11108,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0.7902390630120013,0.7967803397615485,-0.007285858651798205,-0.007644666847166359
train_15,500,24,True,1.0,70,0.8410969558065426,0.843626698522491,0.8531912019321344,0.8573863691834592,0.012094246125591734,0.013759670660968282
train_16,1809,0,False,1.0,20,0.892160096009601,0.89325466058738,0.887103190319032,0.8851527139185288,-0.005056905690569047,-0.008101946668851223
