dataset,n_train,n_object_cols,l2_fired,msl,ever_fires,fires_C_nocap,fires_D_exceptpn,fires_E_all16,base_pub,base_prv,cand_C_nocap_pub,cand_C_nocap_d_pub,cand_C_nocap_prv,cand_C_nocap_d_prv,cand_D_exceptpn_pub,cand_D_exceptpn_d_pub,cand_D_exceptpn_prv,cand_D_exceptpn_d_prv,cand_E_all16_pub,cand_E_all16_d_pub,cand_E_all16_prv,cand_E_all16_d_prv
train_01,14957,5,False,20,True,True,True,True,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213
train_02,14929,2,False,20,True,True,True,True,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125
train_03,3501,7,False,20,True,True,True,True,0.79257860385303,0.8095448403699343,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701
train_04,8775,0,False,20,True,False,True,True,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.829953379132697,0.006306267667663512,0.8329789778977896,0.008019361936193459,0.829953379132697,0.006306267667663512,0.8329789778977896,0.008019361936193459
train_05,1060,5,False,20,True,True,True,True,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148
train_06,10803,9,False,20,True,True,True,True,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473
train_07,10417,6,False,20,True,True,True,True,0.823647674944289,0.826507438189261,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106
train_08,8173,12,False,20,True,True,True,True,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482
train_09,1109,4,True,50,True,True,True,True,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315
train_10,11800,0,False,20,True,False,True,True,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8446204551392729,0.007813281250125037,0.8570319622208364,0.009289249961474844,0.8446204551392729,0.007813281250125037,0.8570319622208364,0.009289249961474844
train_11,28879,0,False,20,True,False,True,True,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.0,0.8166544351437908,0.0,0.8315520634971435,0.003423212942663567,0.8213746182452055,0.004720183101414754,0.8315520634971435,0.003423212942663567,0.8213746182452055,0.004720183101414754
train_12,49432,3,False,20,True,True,True,True,0.7948877046382947,0.7695051699332349,0.7961028263880701,0.0012151217497753386,0.7715084550616449,0.0020032851284099706,0.7961028263880701,0.0012151217497753386,0.7715084550616449,0.0020032851284099706,0.7961028263880701,0.0012151217497753386,0.7715084550616449,0.0020032851284099706
train_13,500,4,True,50,True,True,True,True,0.6283801935207741,0.644000096000384,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669
train_14,11108,15,False,20,True,True,True,True,0.7975249216637995,0.8044250066087149,0.8019428529737036,0.0044179313099040884,0.8073844467017552,0.0029594400930403886,0.8019428529737036,0.0044179313099040884,0.8073844467017552,0.0029594400930403886,0.8019428529737036,0.0044179313099040884,0.8073844467017552,0.0029594400930403886
train_15,500,24,True,70,True,True,True,True,0.8410969558065426,0.843626698522491,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268
train_16,1809,0,True,20,True,False,False,True,0.892160096009601,0.89325466058738,0.892160096009601,0.0,0.89325466058738,0.0,0.892160096009601,0.0,0.89325466058738,0.0,0.8897764976497649,-0.0023835983598361477,0.8886729550248839,-0.004581705562496152
