dataset,n_train,n_object_cols,n_features,ratio,l2,msl,gate_fired,n_fits,base_public,base_private,cand_public,cand_private,delta_public,delta_private,cand_equals_base
train_01,14957,5,12,0.0008022999264558401,0.0,20,True,21,0.7102870983349717,0.7048178137651822,0.7143547887482593,0.7087300571282266,0.0040676904132875835,0.00391224336304441,False
train_02,14929,2,28,0.001875544242749012,0.0,20,True,21,0.9643700590861614,0.9634800627240143,0.969504897392836,0.9679414682539683,0.005134838306674605,0.004461405529953999,False
train_03,3501,7,18,0.005141388174807198,0.0,20,True,21,0.79257860385303,0.8095448403699343,0.8007197729215801,0.8169914057904504,0.008141169068550114,0.007446565420516027,False
train_04,8775,0,12,0.0013675213675213675,0.0,20,True,21,0.8236471114650334,0.8249596159615962,0.8314440882461387,0.8342909490949095,0.007796976781105247,0.009331333133313358,False
train_05,1060,5,9,0.008490566037735849,0.0,20,True,21,0.6531348175078051,0.6568729335399399,0.6618868135524845,0.6653114438659792,0.008751996044679355,0.008438510326039261,False
train_06,10803,9,9,0.0008331019161344071,0.0,20,True,21,0.7996932479509196,0.8137084747042992,0.8006132480981196,0.8143950250862949,0.0009200001472000618,0.0006865503819957208,False
train_07,10417,6,17,0.0016319477776711145,0.0,20,True,21,0.823647674944289,0.826507438189261,0.8295353889362315,0.8298361673140886,0.005887713991942434,0.003328729124827623,False
train_08,8173,12,12,0.0014682491129328276,0.0,20,True,21,0.8460265451826358,0.8411095500558378,0.8495529175117283,0.842833035131749,0.0035263723290925864,0.0017234850759112463,False
train_09,1109,4,18,0.016230838593327322,1.0,50,True,21,0.6204240363998369,0.6334741379351727,0.6318560341838161,0.6448150981533256,0.011431997783979186,0.011340960218152896,False
train_10,11800,0,27,0.002288135593220339,0.0,20,True,21,0.8368071738891478,0.8477427122593616,0.8465199754431961,0.8592645826422403,0.0097128015540483,0.011521870382878663,False
train_11,28879,0,20,0.0006925447557048374,0.0,20,True,21,0.8281288505544799,0.8166544351437908,0.8326158966891233,0.8221611820133855,0.0044870461346433466,0.005506746869594736,False
train_12,49432,3,8,0.0001618384851917786,0.0,20,True,21,0.7948877046382947,0.7695051699332349,0.7962025865317246,0.7719454161802654,0.0013148818934298756,0.002440246247030431,False
train_13,500,4,9,0.018,1.0,50,True,21,0.6283801935207741,0.644000096000384,0.6346465385861544,0.6487909151636606,0.006266345065380263,0.004790819163276616,False
train_14,11108,15,23,0.0020705797623334532,0.0,20,True,21,0.7975249216637995,0.8044250066087149,0.8019540530023757,0.808433680186849,0.004429131338576142,0.00400867357813417,False
train_15,500,24,30,0.06,1.0,70,True,21,0.8410969558065426,0.843626698522491,0.8534116866335372,0.8580812147465705,0.012314730826994524,0.014454516224079561,False
train_16,1809,0,21,0.011608623548922056,1.0,20,False,1,0.892160096009601,0.89325466058738,0.892160096009601,0.89325466058738,0.0,0.0,True
