dataset,n_train,n_object_cols,l2_fired,msl,seed0_auc,avg_auc,lift,sd_auc,sd_fixed,mean_var_auc,base_pub,base_prv,avg_pub,avg_prv,d_pub,d_prv,test_gain,fires_C,fires_D
train_01,14957,5,False,20,0.7118844371997255,0.7163975634866163,0.004513126286890823,0.006029595789904579,0.0016568204119176415,0.7042022420498741,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.7076811060792754,0.0031168079790285796,0.002863292314093213,GAIN,True,True
train_02,14929,2,False,20,0.9639956482924715,0.9654372231742778,0.0014415748818062957,0.0020216278379998867,0.001942705254732022,0.9617181207283082,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.9669652457757297,0.003708885452720745,0.0034851830517154125,GAIN,True,True
train_03,3501,7,False,20,0.7842911358091624,0.7965156285839398,0.012224492774777329,0.0068844280483200924,0.004292647129062437,0.7873563817586587,0.79257860385303,0.8095448403699343,0.7994244632865726,0.8160000985706614,0.006845859433542545,0.00645525820072701,GAIN,True,True
train_04,8775,0,False,20,0.8086671098554097,0.812497091573874,0.0038299817184642704,0.007849920716839664,0.003884367523315049,0.8234110021605451,0.8236471114650334,0.8249596159615962,0.829953379132697,0.8329789778977896,0.006306267667663512,0.008019361936193459,GAIN,False,True
train_05,1060,5,False,20,0.6706733508032356,0.6769966959097643,0.006323345106528655,0.007235814008894238,0.01546496453829081,0.6824028711404808,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.6607057613718614,0.0028691615242530943,0.0038328278319215148,GAIN,True,True
train_06,10803,9,False,20,0.8033721912114665,0.8029721890181716,-0.000400002193294946,0.0024887463902134774,0.0017349428881639885,0.807808240209679,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.8141016808321695,0.0005279200844673371,0.00039320612787030473,GAIN,True,True
train_07,10417,6,False,20,0.8187197700222383,0.8291285512485821,0.01040878122634381,0.0025270122897838305,0.002553306503602402,0.819596807855844,0.823647674944289,0.826507438189261,0.8289275898076023,0.8291196903769802,0.005279914863313251,0.0026122521877192106,GAIN,True,True
train_08,8173,12,False,20,0.8515067049808429,0.8545919540229885,0.003085249042145577,0.006402779002232173,0.0009336834586030798,0.8442848659003831,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.8428696999171441,0.0031286491303545994,0.0017601498613063482,GAIN,True,True
train_09,1109,4,True,50,0.590290357641944,0.6377516691682625,0.047461311526318495,0.042816519677639456,0.02117986277699912,0.597526007970602,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.6398176255316574,0.009847594166078943,0.0063434875964847315,GAIN,True,True
train_10,11800,0,False,20,0.8422144908830411,0.8529027685272903,0.010688277644249178,0.008153163291525413,0.0019343374979722003,0.8359020041267516,0.8368071738891478,0.8477427122593616,0.8446204551392729,0.8570319622208364,0.007813281250125037,0.009289249961474844,GAIN,False,True
train_11,28879,0,False,20,0.8080466276859483,0.8136853952604793,0.005638767574531078,0.004259035678683591,0.001993223930106635,0.8145050048071717,0.8281288505544799,0.8166544351437908,0.8315520634971435,0.8213746182452055,0.003423212942663567,0.004720183101414754,GAIN,False,True
train_12,49432,3,False,20,0.7936881287277884,0.7944153816541063,0.0007272529263179228,0.003540696669023361,0.00042373478680212713,0.7871676185557926,0.7948877046382947,0.7695051699332349,0.7961028263880701,0.7715084550616449,0.0012151217497753386,0.0020032851284099706,GAIN,True,True
train_13,500,4,True,50,0.7278545826932924,0.7096774193548387,-0.01817716333845365,0.03539750348377905,0.014612817814995824,0.6863287250384025,0.6283801935207741,0.644000096000384,0.6353388613554454,0.6490994763979057,0.0069586678346712505,0.005099380397521669,GAIN,True,True
train_14,11108,15,False,20,0.7977148216040026,0.8036409527040274,0.005926131100024712,0.00533535556217249,0.0016640908851301142,0.7974108604565753,0.7975249216637995,0.8044250066087149,0.8019428529737036,0.8073844467017552,0.0044179313099040884,0.0029594400930403886,GAIN,True,True
train_15,500,24,True,70,0.8430619559651817,0.8438300051203277,0.0007680491551459445,0.012728314891469457,0.007195108097468739,0.8381464413722478,0.8410969558065426,0.843626698522491,0.851260780341376,0.8563091705050022,0.010163824534833332,0.012682471982511268,GAIN,True,True
train_16,1809,0,True,20,0.8632606915909711,0.861467389185607,-0.0017933024053641278,0.011716591031937153,0.006786378565350166,0.8575026314763556,0.892160096009601,0.89325466058738,0.8897764976497649,0.8886729550248839,-0.0023835983598361477,-0.004581705562496152,REG,False,False
