dataset,n_train,n_object_cols,gate_c,l2,msl,base_pub,base_prv,probmean_pub,probmean_prv,probmean_d_pub,probmean_d_prv,rankmean_pub,rankmean_prv,rankmean_d_pub,rankmean_d_prv,rank_minus_prob_pub,rank_minus_prob_prv
train_01,14957,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044,0.7139340676712133,0.7084463362724233,0.0036469693362415345,0.0036285225072411054,-1.7360044441638856e-05,-9.297338816793843e-05
train_02,14929,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184,0.9687427198322649,0.9675250416026626,0.0043726607461035405,0.004044978878648298,-4.920113359418998e-05,-3.6562339989720805e-05
train_03,3501,7,True,0.0,20,0.79257860385303,0.8095448403699343,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855,0.8005952023779292,0.8168397893916206,0.008016598524899221,0.007294949021686259,0.000122650381128242,1.8001947090673376e-05
train_04,8775,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603,0.8309362229351879,0.8344434443444345,0.00728911147015443,0.009483828382838344,-3.920813019697711e-06,-7.392739273925919e-05
train_05,1060,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419,0.6618046246554835,0.6650183527977915,0.008669807147678399,0.008145419257851616,0.0002733221409036979,-0.00018691256764580277
train_06,10803,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236,0.8002324480371916,0.8140947193073171,0.0005392000862720625,0.00038624460301794894,3.024000483831113e-05,-0.00011290473065217466
train_07,10417,6,True,0.0,20,0.823647674944289,0.826507438189261,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125,0.8296194854191422,0.8290274301683042,0.005971810474853179,0.002519991979043179,-1.3362619073142845e-05,1.4323137340066516e-05
train_08,8173,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438,0.8496319820027451,0.8428505669832806,0.0036054368201093867,0.0017410169274428844,-4.4653831971053215e-05,2.0573907961840554e-05
train_09,1109,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532,0.6314274082782969,0.6430204115202369,0.011003371878460011,0.009546273585064213,-9.433450487339456e-05,0.00024145703720868106
train_10,11800,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145,0.8451994952319193,0.8580739424296934,0.008392321342771458,0.010331230170331773,1.600000255996825e-05,5.8647891660323914e-05
train_11,28879,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076,0.8323020114896545,0.8220014837925919,0.0041731609351746135,0.005347048648801089,1.2881854987156771e-05,3.5461810432013685e-05
train_12,49432,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617,0.7964731469213315,0.7719079760844187,0.0015854422830368087,0.002402806151183823,2.2400032254621394e-06,6.608016916520576e-05
train_13,500,4,True,1.0,50,0.6283801935207741,0.644000096000384,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516,0.6361086244344977,0.6501706006824027,0.00772843091372355,0.00617050468201874,0.000395361581446263,-4.568018272077534e-05
train_14,11108,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749,0.8010170106035472,0.8083646327186749,0.0034920889397477284,0.003939626109960015,-1.9600050176094008e-05,-0.00010857174311973417
train_15,500,24,True,1.0,70,0.8410969558065426,0.843626698522491,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342,0.852426828290356,0.8573746857270255,0.011329872483813341,0.013747987204534518,-0.00011844550202411153,5.545640622317549e-05
train_16,1809,0,False,1.0,20,0.892160096009601,0.89325466058738,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146,0.8910543054305431,0.8890779243553772,-0.0011057905790579081,-0.0041767362320027646,-0.000533573357335726,-0.00046481070923865
