dataset,n_train,n_object_cols,gate_c,l2,msl,base_public,base_private,blend_public,blend_private,delta_public,delta_private
train_01,14957,5,True,0.0,20,0.7102870983349717,0.7048178137651822,0.7191884811225117,0.7119694836056392,0.008901382787539935,0.007151669840457009
train_02,14929,2,True,0.0,20,0.9643700590861614,0.9634800627240143,0.9162602306357138,0.9165692204301075,-0.048109828450447534,-0.04691084229390685
train_03,3501,7,True,0.0,20,0.79257860385303,0.8095448403699343,0.8042179090038181,0.8163785395028326,0.011639305150788037,0.006833699132898219
train_04,8775,0,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8052572181367529,0.8104896089608962,-0.01838989332828056,-0.014470007000700003
train_05,1060,5,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6753363136020702,0.6846400116756343,0.02220149609426514,0.027767078135694345
train_06,10803,9,True,0.0,20,0.7996932479509196,0.8137084747042992,0.8006301281008206,0.8146425192974269,0.0009368801499010093,0.0009340445931277364
train_07,10417,6,True,0.0,20,0.823647674944289,0.826507438189261,0.8042000232045481,0.8073187551001171,-0.019447651739740945,-0.0191886830891439
train_08,8173,12,True,0.0,20,0.8460265451826358,0.8411095500558378,0.8527531888277712,0.84761490767759,0.006726643645135422,0.006505357621752195
train_09,1109,4,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6359438627283331,0.6498804155621221,0.015519826328496245,0.01640627762694935
train_10,11800,0,False,0.0,20,0.8368071738891478,0.8477427122593616,0.7636186821789892,0.7725512344941136,-0.07318849171015862,-0.07519147776524804
train_11,28879,0,False,0.0,20,0.8281288505544799,0.8166544351437908,0.78364052423549,0.7710257316660039,-0.04448832631898991,-0.045628703477786914
train_12,49432,3,True,0.0,20,0.7948877046382947,0.7695051699332349,0.7636863797083867,0.7387410111769885,-0.031201324929908014,-0.030764158756246385
train_13,500,4,True,1.0,50,0.6283801935207741,0.644000096000384,0.630878203512814,0.6457949831799327,0.0024980099920398624,0.0017948871795486765
train_14,11108,15,True,0.0,20,0.7975249216637995,0.8044250066087149,0.7647183576789957,0.7653346986010007,-0.03280656398480386,-0.03909030800771418
train_15,500,24,True,1.0,70,0.8410969558065426,0.843626698522491,0.8588725044613139,0.8621047250618623,0.017775548654771267,0.01847802653937136
train_16,1809,0,False,1.0,20,0.892160096009601,0.89325466058738,0.8671627962796279,0.8646351211931922,-0.02499729972997311,-0.02861953939418782
