dataset,l2_fired,base_pub,base_prv,base_msl,base_lr,base_lr_fired,lr07_pub,lr07_prv,lr07_msl,lr07_lr,lr07_lr_fired,lr05_pub,lr05_prv,lr05_msl,lr05_lr,lr05_lr_fired
train_01,False,0.7102870983349717,0.7048178137651822,20,0.1,False,0.7102870983349717,0.7048178137651822,20,0.1,False,0.7102870983349717,0.7048178137651822,20,0.1,False
train_02,False,0.9643700590861614,0.9634800627240143,20,0.1,False,0.9643700590861614,0.9634800627240143,20,0.1,False,0.9643700590861614,0.9634800627240143,20,0.1,False
train_03,False,0.79257860385303,0.8095448403699343,20,0.1,False,0.79257860385303,0.8095448403699343,20,0.1,False,0.79257860385303,0.8095448403699343,20,0.1,False
train_04,False,0.8236471114650334,0.8249596159615962,20,0.1,False,0.8236471114650334,0.8249596159615962,20,0.1,False,0.8236471114650334,0.8249596159615962,20,0.1,False
train_05,False,0.6531348175078051,0.6568729335399399,20,0.1,False,0.6531348175078051,0.6568729335399399,20,0.1,False,0.6531348175078051,0.6568729335399399,20,0.1,False
train_06,False,0.7996932479509196,0.8137084747042992,20,0.1,False,0.7996932479509196,0.8137084747042992,20,0.1,False,0.7996932479509196,0.8137084747042992,20,0.1,False
train_07,False,0.823647674944289,0.826507438189261,20,0.1,False,0.823647674944289,0.826507438189261,20,0.1,False,0.823647674944289,0.826507438189261,20,0.1,False
train_08,False,0.8460265451826358,0.8411095500558378,20,0.1,False,0.8460265451826358,0.8411095500558378,20,0.1,False,0.8460265451826358,0.8411095500558378,20,0.1,False
train_09,True,0.6204240363998369,0.6334741379351727,50,0.1,False,0.6235344346546725,0.6351940992956463,50,0.07,True,0.6231823805228291,0.6310291654179119,50,0.05,True
train_10,False,0.8368071738891478,0.8477427122593616,20,0.1,False,0.8368071738891478,0.8477427122593616,20,0.1,False,0.8368071738891478,0.8477427122593616,20,0.1,False
train_11,False,0.8281288505544799,0.8166544351437908,20,0.1,False,0.8281288505544799,0.8166544351437908,20,0.1,False,0.8281288505544799,0.8166544351437908,20,0.1,False
train_12,False,0.7948877046382947,0.7695051699332349,20,0.1,False,0.7948877046382947,0.7695051699332349,20,0.1,False,0.7948877046382947,0.7695051699332349,20,0.1,False
train_13,True,0.6283801935207741,0.644000096000384,50,0.1,False,0.6233022532090128,0.6381780727122909,50,0.07,True,0.6183969535878144,0.6324810899243598,50,0.05,True
train_14,False,0.7975249216637995,0.8044250066087149,20,0.1,False,0.7975249216637995,0.8044250066087149,20,0.1,False,0.7975249216637995,0.8044250066087149,20,0.1,False
train_15,True,0.8410969558065426,0.843626698522491,70,0.1,False,0.8402480696984553,0.8450523202784312,70,0.07,True,0.8368059473727426,0.8418808220223871,70,0.05,True
train_16,True,0.892160096009601,0.89325466058738,20,0.1,False,0.8894257425742574,0.8924642423761442,20,0.07,True,0.8911761576157616,0.8933895436950867,20,0.05,True
