dataset,dA_public,dB_public,diff_public_AminusB,winner_public,dA_private,dB_private,diff_private_AminusB,winner_private
train_03,0.007893948143770979,0.004751922202695269,0.00314202594107571,A,0.0072769470745955855,0.003858257309110602,0.0034186897654849835,A
train_05,0.008396485006774701,0.008954824784646709,-0.0005583397778720078,B,0.008332331825497419,0.015770187797521817,-0.007437855972024399,B
train_09,0.011097706383333406,0.009481857930475401,0.0016158484528580042,A,0.009304816547855532,0.011924601399874724,-0.0026197848520191913,B
train_13,0.007333069332277287,0.00039472157888631454,0.006938347753390972,A,0.006216184864739516,0.002296009184036718,0.003920175680702798,A
train_15,0.011448317985837453,0.012094246125591734,-0.0006459281397542815,B,0.013692530798311342,0.013759670660968282,-6.713986265693972e-05,B
