dataset,n_train,n_object_cols,l2,msl,n_num_constrained_all,n_num_constrained_strong,base_pub,base_prv,mono_all_pub,mono_all_prv,mono_all_d_pub,mono_all_d_prv,mono_strong_pub,mono_strong_prv,mono_strong_d_pub,mono_strong_d_prv
train_01,14957,5,0.0,20,7,5,0.7102870983349717,0.7048178137651822,0.7164829541963627,0.7099391912435391,0.006195855861390931,0.005121377478356948,0.7140767080363726,0.7048555792034052,0.0037896097014008534,3.776543822309186e-05
train_02,14929,2,0.0,20,26,15,0.9643700590861614,0.9634800627240143,0.8711482312552482,0.8756275601638506,-0.09322182783091315,-0.08785250256016375,0.9069786567882524,0.9042098694316436,-0.057391402297908956,-0.05927019329237071
train_03,3501,7,0.0,20,11,7,0.79257860385303,0.8095448403699343,0.7951762637189611,0.8137593762141313,0.002597659865931079,0.004214535844196954,0.7946813418287724,0.8100543354769252,0.0021027379757423414,0.0005094951069908316
train_04,8775,0,0.0,20,12,9,0.8236471114650334,0.8249596159615962,0.7824812953213979,0.7846122212221224,-0.04116581614363557,-0.040347394739473796,0.789843141873899,0.7965078107810781,-0.03380396959113441,-0.02845180518051804
train_05,1060,5,0.0,20,4,2,0.6531348175078051,0.6568729335399399,0.6575827908946237,0.6676316881453425,0.004447973386818571,0.010758754605402543,0.6535432787025497,0.6597542355780072,0.0004084611947445804,0.002881302038067246
train_06,10803,9,0.0,20,0,0,0.7996932479509196,0.8137084747042992,0.7996932479509196,0.8137084747042992,0.0,0.0,0.7996932479509196,0.8137084747042992,0.0,0.0
train_07,10417,6,0.0,20,11,3,0.823647674944289,0.826507438189261,0.7864264595860788,0.7872069898190499,-0.03722121535821021,-0.03930044837021107,0.8229268936711596,0.8255485081452241,-0.0007207812731294672,-0.0009589300440369097
train_08,8173,12,0.0,20,0,0,0.8460265451826358,0.8411095500558378,0.8460265451826358,0.8411095500558378,0.0,0.0,0.8460265451826358,0.8411095500558378,0.0,0.0
train_09,1109,4,1.0,50,14,8,0.6204240363998369,0.6334741379351727,0.6309384530965482,0.6372536046143417,0.01051441669671127,0.0037794666791689524,0.6256152345984718,0.6425368574006582,0.005191198198634894,0.009062719465485536
train_10,11800,0,0.0,20,27,4,0.8368071738891478,0.8477427122593616,0.7060500329680052,0.7084817333020332,-0.13075714092114266,-0.13926097895732836,0.8078484492557519,0.8082066722898233,-0.028958724633395883,-0.03953603996953825
train_11,28879,0,0.0,20,20,7,0.8281288505544799,0.8166544351437908,0.7526371797538846,0.7355525542429616,-0.07549167080059538,-0.08110188090082915,0.782749515930294,0.7671865704282762,-0.045379334624185974,-0.049467864715514565
train_12,49432,3,0.0,20,5,3,0.7948877046382947,0.7695051699332349,0.7546305266679584,0.7320575540673384,-0.040257177970336344,-0.03744761586589651,0.754119965932751,0.7317488332770131,-0.04076773870554373,-0.0377563366562218
train_13,500,4,1.0,50,5,2,0.6283801935207741,0.644000096000384,0.6213978455913824,0.637565270261081,-0.006982347929391675,-0.006434825739302985,0.6158945435781743,0.6327178908715635,-0.012485649942599819,-0.0112822051288205
train_14,11108,15,0.0,20,8,7,0.7975249216637995,0.8044250066087149,0.7669210033177685,0.7674446068086727,-0.030603918346031045,-0.036980399800042196,0.7666859627160646,0.7720379836283093,-0.030838958947734918,-0.03238702298040552
train_15,500,24,1.0,70,6,4,0.8410969558065426,0.843626698522491,0.8401928484846739,0.8438297185839458,-0.0009041073218687412,0.00020302006145489493,0.8365829016875124,0.8398707073500623,-0.004514054119030275,-0.003755991172428641
train_16,1809,0,1.0,20,21,8,0.892160096009601,0.89325466058738,0.8056226422642265,0.8052836737358429,-0.08653745374537447,-0.08797098685153715,0.8050369836983698,0.8059305686403015,-0.08712311231123115,-0.08732409194707846
