dataset,n_train,n_object_cols,fires,msl,base_is_seed0,base_pub,base_prv,cand_K5_pub,cand_K5_d_pub,cand_K5_prv,cand_K5_d_prv,cand_K6_pub,cand_K6_d_pub,cand_K6_prv,cand_K6_d_prv,cand_K7_pub,cand_K7_d_pub,cand_K7_prv,cand_K7_d_prv,cand_K8_pub,cand_K8_d_pub,cand_K8_prv,cand_K8_d_prv,cand_K10_pub,cand_K10_d_pub,cand_K10_prv,cand_K10_d_prv
train_01,14957,5,True,20,True,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.7137882272978618,0.003501128962890121,0.7079675473268151,0.0031497335616329503,0.7139954278282952,0.003708329493323448,0.7081946200252835,0.003376806260101395,0.7140411879454412,0.0037540896104695243,0.7082008609239729,0.003383047158790786,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044
train_02,14929,2,True,20,True,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.9681770267986974,0.00380696771253608,0.9669574052739375,0.003477342549923157,0.9684456729883056,0.004075613902144282,0.9671753392217102,0.003695276497695854,0.9686216770434393,0.004251617957277909,0.9672985471070148,0.0038184843830004755,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184
train_03,3501,7,True,20,True,0.79257860385303,0.8095448403699343,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.8002350918981783,0.007656488045148291,0.8164107029816345,0.006865862611700191,0.8002250110449347,0.0076464071919046805,0.8169278789193839,0.00738303854944955,0.8003866247239166,0.007808020870886612,0.8169717236616313,0.00742688329169694,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855
train_04,8775,0,False,20,,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6574838598149003,0.004349042307095208,0.66129946481875,0.0044265312788100974,0.6587453712671141,0.005610553759308967,0.6614421296766748,0.004569196136734899,0.659430438954397,0.006295621446591904,0.66358762350752,0.0067146899675800675,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419
train_06,10803,9,True,20,True,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.8004626080740173,0.0007693601230976954,0.8142944430548067,0.0005859683505075042,0.8003878880620621,0.0006946401111425082,0.8143246896800276,0.0006162149757283908,0.8000738880118221,0.00038064006090254843,0.8143149275417287,0.0006064528374295497,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236
train_07,10417,6,True,20,True,0.823647674944289,0.826507438189261,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.8292998227652619,0.005652147820972897,0.828573170667303,0.0020657324780419817,0.829231649403283,0.0055839744589939455,0.8286418257055025,0.0021343875162415094,0.8293107048981601,0.005663029953871024,0.828779615887064,0.0022721776978029684,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125
train_08,8173,12,True,20,True,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8494834559953292,0.0034569108126933923,0.8429838570873912,0.001874307031553446,0.849561880288038,0.003535335105402271,0.8426820530678739,0.0015725030120361527,0.8496740750414848,0.0036475298588490856,0.8427448154952748,0.0016352654394370392,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438
train_09,1109,4,True,50,True,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6320269404623655,0.011602904062528618,0.6407042480917453,0.0072301101565726,0.6313684392112131,0.010944402811376208,0.6411092366677393,0.007635098732566625,0.6315982345445436,0.01117419814470666,0.6424482111457783,0.008974073210605615,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532
train_10,11800,0,False,20,,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
