dataset,n_train,n_object_cols,is_obj0,l2,msl,base_pub,base_prv,cand_A_lr005_pub,cand_A_lr005_d_pub,cand_A_lr005_prv,cand_A_lr005_d_prv,cand_B_mf070_pub,cand_B_mf070_d_pub,cand_B_mf070_prv,cand_B_mf070_d_prv,cand_C_l2force_pub,cand_C_l2force_d_pub,cand_C_l2force_prv,cand_C_l2force_d_prv,cand_D_msl50_pub,cand_D_msl50_d_pub,cand_D_msl50_prv,cand_D_msl50_d_prv
train_01,14957,5,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0,0.7102870983349717,0.0,0.7048178137651822,0.0
train_02,14929,2,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0,0.9643700590861614,0.0,0.9634800627240143,0.0
train_03,3501,7,False,0.0,20,0.79257860385303,0.8095448403699343,0.79257860385303,0.0,0.8095448403699343,0.0,0.79257860385303,0.0,0.8095448403699343,0.0,0.79257860385303,0.0,0.8095448403699343,0.0,0.79257860385303,0.0,0.8095448403699343,0.0
train_04,8775,0,True,0.0,20,0.8236471114650334,0.8249596159615962,0.8225568053791634,-0.0010903060858700186,0.8281188118811881,0.003159195919591906,0.8223649255909706,-0.0012821858740628134,0.8229856585658566,-0.0019739573957395784,0.8237423312097997,9.521974476622841e-05,0.8291193919391939,0.004159775977597757,0.8228834331086894,-0.0007636783563440552,0.8268076407640765,0.0018480248024803636
train_05,1060,5,False,0.0,20,0.6531348175078051,0.6568729335399399,0.6531348175078051,0.0,0.6568729335399399,0.0,0.6531348175078051,0.0,0.6568729335399399,0.0,0.6531348175078051,0.0,0.6568729335399399,0.0,0.6531348175078051,0.0,0.6568729335399399,0.0
train_06,10803,9,False,0.0,20,0.7996932479509196,0.8137084747042992,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0,0.7996932479509196,0.0,0.8137084747042992,0.0
train_07,10417,6,False,0.0,20,0.823647674944289,0.826507438189261,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0,0.823647674944289,0.0,0.826507438189261,0.0
train_08,8173,12,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0,0.8460265451826358,0.0,0.8411095500558378,0.0
train_09,1109,4,False,1.0,50,0.6204240363998369,0.6334741379351727,0.6204240363998369,0.0,0.6334741379351727,0.0,0.6204240363998369,0.0,0.6334741379351727,0.0,0.6204240363998369,0.0,0.6334741379351727,0.0,0.6204240363998369,0.0,0.6334741379351727,0.0
train_10,11800,0,True,0.0,20,0.8368071738891478,0.8477427122593616,0.8390241342438614,0.0022169603547135264,0.8489388732147798,0.0011961609554181907,0.8419358147097304,0.0051286408205826195,0.8506874285003789,0.002944716241017331,0.8381897341103576,0.0013825602212097499,0.8468305895241265,-0.0009121227352351102,0.8379703740752599,0.0011632001861120456,0.8497769059804688,0.002034193721107247
train_11,28879,0,True,0.0,20,0.8281288505544799,0.8166544351437908,0.8273132131026868,-0.0008156374517931386,0.820183005355614,0.0035285702118231788,0.8242326094957674,-0.0038962410587125573,0.8154290414776705,-0.001225393666120289,0.8301200172824887,0.0019911667280088086,0.821179138017046,0.0045247028732552375,0.8283479221007826,0.00021907154630262937,0.8230673393363854,0.0064129041925946595
train_12,49432,3,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7948877046382947,0.0,0.7695051699332349,0.0,0.7948877046382947,0.0,0.7695051699332349,0.0,0.7948877046382947,0.0,0.7695051699332349,0.0,0.7948877046382947,0.0,0.7695051699332349,0.0
train_13,500,4,False,1.0,50,0.6283801935207741,0.644000096000384,0.6283801935207741,0.0,0.644000096000384,0.0,0.6283801935207741,0.0,0.644000096000384,0.0,0.6283801935207741,0.0,0.644000096000384,0.0,0.6283801935207741,0.0,0.644000096000384,0.0
train_14,11108,15,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7975249216637995,0.0,0.8044250066087149,0.0,0.7975249216637995,0.0,0.8044250066087149,0.0,0.7975249216637995,0.0,0.8044250066087149,0.0,0.7975249216637995,0.0,0.8044250066087149,0.0
train_15,500,24,False,1.0,70,0.8410969558065426,0.843626698522491,0.8410969558065426,0.0,0.843626698522491,0.0,0.8410969558065426,0.0,0.843626698522491,0.0,0.8410969558065426,0.0,0.843626698522491,0.0,0.8410969558065426,0.0,0.843626698522491,0.0
train_16,1809,0,True,1.0,20,0.892160096009601,0.89325466058738,0.8911761576157616,-0.0009839383938393675,0.8933895436950867,0.00013488310770670697,0.888571897189719,-0.003588198819882038,0.8887081558359105,-0.00454650475146956,0.892160096009601,0.0,0.89325466058738,0.0,0.8914686668666867,-0.0006914291429143127,0.8927772095869089,-0.00047745100047114075
