dataset,l2_fired,base_pub,base_prv,base_msl,base_vf,base_vf_fired,vf015_pub,vf015_prv,vf015_msl,vf015_vf,vf015_vf_fired,vf020_pub,vf020_prv,vf020_msl,vf020_vf,vf020_vf_fired
train_01,False,0.7102870983349717,0.7048178137651822,20,0.1,False,0.7102870983349717,0.7048178137651822,20,0.1,False,0.7102870983349717,0.7048178137651822,20,0.1,False
train_02,False,0.9643700590861614,0.9634800627240143,20,0.1,False,0.9643700590861614,0.9634800627240143,20,0.1,False,0.9643700590861614,0.9634800627240143,20,0.1,False
train_03,False,0.79257860385303,0.8095448403699343,20,0.1,False,0.79257860385303,0.8095448403699343,20,0.1,False,0.79257860385303,0.8095448403699343,20,0.1,False
train_04,False,0.8236471114650334,0.8249596159615962,20,0.1,False,0.8236471114650334,0.8249596159615962,20,0.1,False,0.8236471114650334,0.8249596159615962,20,0.1,False
train_05,False,0.6531348175078051,0.6568729335399399,20,0.1,False,0.6531348175078051,0.6568729335399399,20,0.1,False,0.6531348175078051,0.6568729335399399,20,0.1,False
train_06,False,0.7996932479509196,0.8137084747042992,20,0.1,False,0.7996932479509196,0.8137084747042992,20,0.1,False,0.7996932479509196,0.8137084747042992,20,0.1,False
train_07,False,0.823647674944289,0.826507438189261,20,0.1,False,0.823647674944289,0.826507438189261,20,0.1,False,0.823647674944289,0.826507438189261,20,0.1,False
train_08,False,0.8460265451826358,0.8411095500558378,20,0.1,False,0.8460265451826358,0.8411095500558378,20,0.1,False,0.8460265451826358,0.8411095500558378,20,0.1,False
train_09,True,0.6204240363998369,0.6334741379351727,50,0.1,False,0.6191496004425641,0.6318770652457237,50,0.15,True,0.6104957898326446,0.627225057000022,50,0.2,True
train_10,False,0.8368071738891478,0.8477427122593616,20,0.1,False,0.8368071738891478,0.8477427122593616,20,0.1,False,0.8368071738891478,0.8477427122593616,20,0.1,False
train_11,False,0.8281288505544799,0.8166544351437908,20,0.1,False,0.8281288505544799,0.8166544351437908,20,0.1,False,0.8281288505544799,0.8166544351437908,20,0.1,False
train_12,False,0.7948877046382947,0.7695051699332349,20,0.1,False,0.7948877046382947,0.7695051699332349,20,0.1,False,0.7948877046382947,0.7695051699332349,20,0.1,False
train_13,True,0.6283801935207741,0.644000096000384,50,0.1,False,0.6338990955963824,0.6434804139216557,50,0.15,True,0.6348415793663175,0.6410323241292966,50,0.2,True
train_14,False,0.7975249216637995,0.8044250066087149,20,0.1,False,0.7975249216637995,0.8044250066087149,20,0.1,False,0.7975249216637995,0.8044250066087149,20,0.1,False
train_15,True,0.8410969558065426,0.843626698522491,70,0.1,False,0.8355462634525679,0.8426225614585819,70,0.15,True,0.838488353685952,0.8420447905308306,70,0.2,True
train_16,True,0.892160096009601,0.89325466058738,20,0.1,False,0.8855096709670967,0.8860076136154177,20,0.15,True,0.8870483848384838,0.8869113144366845,20,0.2,True
