dataset,l2_fired,base_pub,base_prv,base_msl,base_mb,base_mb_fired,mb_127_pub,mb_127_prv,mb_127_msl,mb_127_mb,mb_127_mb_fired,mb_63_pub,mb_63_prv,mb_63_msl,mb_63_mb,mb_63_mb_fired
train_01,False,0.7102870983349717,0.7048178137651822,20,255,False,0.7102870983349717,0.7048178137651822,20,255,False,0.7102870983349717,0.7048178137651822,20,255,False
train_02,False,0.9643700590861614,0.9634800627240143,20,255,False,0.9643700590861614,0.9634800627240143,20,255,False,0.9643700590861614,0.9634800627240143,20,255,False
train_03,False,0.79257860385303,0.8095448403699343,20,255,False,0.79257860385303,0.8095448403699343,20,255,False,0.79257860385303,0.8095448403699343,20,255,False
train_04,False,0.8236471114650334,0.8249596159615962,20,255,False,0.8236471114650334,0.8249596159615962,20,255,False,0.8236471114650334,0.8249596159615962,20,255,False
train_05,False,0.6531348175078051,0.6568729335399399,20,255,False,0.6531348175078051,0.6568729335399399,20,255,False,0.6531348175078051,0.6568729335399399,20,255,False
train_06,False,0.7996932479509196,0.8137084747042992,20,255,False,0.7996932479509196,0.8137084747042992,20,255,False,0.7996932479509196,0.8137084747042992,20,255,False
train_07,False,0.823647674944289,0.826507438189261,20,255,False,0.823647674944289,0.826507438189261,20,255,False,0.823647674944289,0.826507438189261,20,255,False
train_08,False,0.8460265451826358,0.8411095500558378,20,255,False,0.8460265451826358,0.8411095500558378,20,255,False,0.8460265451826358,0.8411095500558378,20,255,False
train_09,True,0.6204240363998369,0.6334741379351727,50,255,False,0.6197079262907464,0.6326705612348008,50,127,True,0.6218922621542289,0.6355974877587363,50,63,True
train_10,False,0.8368071738891478,0.8477427122593616,20,255,False,0.8368071738891478,0.8477427122593616,20,255,False,0.8368071738891478,0.8477427122593616,20,255,False
train_11,False,0.8281288505544799,0.8166544351437908,20,255,False,0.8281288505544799,0.8166544351437908,20,255,False,0.8281288505544799,0.8166544351437908,20,255,False
train_12,False,0.7948877046382947,0.7695051699332349,20,255,False,0.7948877046382947,0.7695051699332349,20,255,False,0.7948877046382947,0.7695051699332349,20,255,False
train_13,True,0.6283801935207741,0.644000096000384,50,255,False,0.6150159000636003,0.6279205916823667,50,127,True,0.6307906031624126,0.6421004884019537,50,63,True
train_14,False,0.7975249216637995,0.8044250066087149,20,255,False,0.7975249216637995,0.8044250066087149,20,255,False,0.7975249216637995,0.8044250066087149,20,255,False
train_15,True,0.8410969558065426,0.843626698522491,70,255,False,0.8368908599927749,0.841698928210922,70,127,True,0.8380690726149358,0.8418314474154033,70,63,True
train_16,True,0.892160096009601,0.89325466058738,20,255,False,0.8827753175317531,0.8826489762324125,20,127,True,0.8912977697769776,0.8918229476007127,20,63,True
