dataset,n_train,n_object_cols,l2,msl,base_pub,base_prv,cand_md3_pub,cand_md3_prv,cand_md3_d_pub,cand_md3_d_prv,cand_md5_pub,cand_md5_prv,cand_md5_d_pub,cand_md5_d_prv,cand_md8_pub,cand_md8_prv,cand_md8_d_pub,cand_md8_d_prv
train_01,14957,5,0.0,20,0.7102870983349717,0.7048178137651822,0.7145523892541165,0.7076374997999711,0.0042652909191447375,0.002819686034788993,0.7122014232356435,0.7052829207405866,0.0019143249006717822,0.0004651069754044723,0.7115203814921767,0.70367572930502,0.0012332831572049452,-0.0011420844601621738
train_02,14929,2,0.0,20,0.9643700590861614,0.9634800627240143,0.9370771102566204,0.9365970622119816,-0.02729294882954092,-0.02688300051203274,0.9620860064615889,0.9613909690220174,-0.00228405262457243,-0.002089093701996947,0.9652246387756774,0.9633317332309267,0.0008545796895160773,-0.00014832949308762888
train_03,3501,7,0.0,20,0.79257860385303,0.8095448403699343,0.7989402623038016,0.8170083676250424,0.0063616584507715235,0.007463527255108016,0.792267537524376,0.8123757065564212,-0.0003110663286540749,0.002830866186486869,0.7905187495069583,0.810080738332658,-0.002059854346071699,0.000535897962723686
train_04,8775,0,0.0,20,0.8236471114650334,0.8249596159615962,0.8272144111803024,0.8270548654865487,0.0035672997152689234,0.002095249524952547,0.8259643919763202,0.8262338233823383,0.002317280511286768,0.001274207420742135,0.8233356868880332,0.8251914791479148,-0.0003114245770002855,0.000231863186318626
train_05,1060,5,0.0,20,0.6531348175078051,0.6568729335399399,0.6684689746526558,0.6765071546066187,0.015334157144850646,0.01963422106667878,0.6558899879984985,0.66397513102683,0.002755170490693404,0.007102197486890116,0.6515281287094148,0.6558707589210344,-0.001606688798390321,-0.0010021746189055047
train_06,10803,9,0.0,20,0.7996932479509196,0.8137084747042992,0.801253968200635,0.8138813125627038,0.0015607202497154304,0.00017283785840460641,0.7994865279178445,0.813713995913665,-0.0002067200330750918,5.5212093658107975e-06,0.7968946075031372,0.8131533931192289,-0.00279864044778233,-0.0005550815850703383
train_07,10417,6,0.0,20,0.823647674944289,0.826507438189261,0.8225004100803757,0.8238881444591624,-0.0011472648639133665,-0.002619293730098615,0.8254581097895186,0.8250432774794991,0.0018104348452295804,-0.0014641607097618525,0.8260561470048129,0.8286118991503899,0.0024084720605238585,0.002104460961128929
train_08,8173,12,0.0,20,0.8460265451826358,0.8411095500558378,0.8522397497848934,0.8477215397608783,0.006213204602257605,0.006611989705040511,0.8488393364728658,0.8440404113180509,0.0028127912902300434,0.0029308612622130914,0.8465001318808514,0.8408755518730662,0.00047358669821562227,-0.00023399818277158868
train_09,1109,4,1.0,50,0.6204240363998369,0.6334741379351727,0.6283592565192824,0.6419278544294085,0.007935220119445474,0.008453716494235763,0.62041283467746,0.6309998833517694,-1.1201722376896761e-05,-0.0024742545834033347,0.6195930286240812,0.6277145315373452,-0.0008310077757557321,-0.005759606397827466
train_10,11800,0,0.0,20,0.8368071738891478,0.8477427122593616,0.8258666921386707,0.8337827538073523,-0.010940481750477127,-0.013959958452009258,0.8351167736186837,0.8461661801211973,-0.0016904002704640764,-0.0015765321381643327,0.8403713344594135,0.8511070049585873,0.003564160570265651,0.0033642926992256683
train_11,28879,0,0.0,20,0.8281288505544799,0.8166544351437908,0.8058429213806788,0.7919666111445183,-0.022285929173801122,-0.024687823999272496,0.8188721575906931,0.8106246465826341,-0.009256692963786839,-0.006029788561156657,0.8261930517994591,0.8192118480550278,-0.0019357987550208122,0.0025574129112370114
train_12,49432,3,0.0,20,0.7948877046382947,0.7695051699332349,0.7917685001466401,0.7677810055193741,-0.0031192044916545925,-0.001724164413860807,0.7951185849707623,0.7677993255662735,0.00023088033246754236,-0.0017058443669614176,0.7945273841194331,0.770519012528672,-0.0003603205188615899,0.001013842595437131
train_13,500,4,1.0,50,0.6283801935207741,0.644000096000384,0.6217008868035472,0.6368920675682702,-0.0066793067172269405,-0.007108028432113778,0.6283801935207741,0.644000096000384,0.0,0.0,0.6283801935207741,0.644000096000384,0.0,0.0
train_14,11108,15,0.0,20,0.7975249216637995,0.8044250066087149,0.786711933982551,0.8013443534052642,-0.010812987681248498,-0.003080653203450634,0.7953183560149915,0.805998376784433,-0.0022065656488080565,0.001573370175718125,0.7973584412376096,0.8039384739853463,-0.00016648042618994108,-0.00048653262336850744
train_15,500,24,1.0,70,0.8410969558065426,0.843626698522491,0.8397112234636057,0.8438630084324146,-0.0013857323429369295,0.00023630990992362655,0.8410969558065426,0.843626698522491,0.0,0.0,0.8410969558065426,0.843626698522491,0.0,0.0
train_16,1809,0,1.0,20,0.892160096009601,0.89325466058738,0.8586218621862187,0.86006461588875,-0.03353823382338228,-0.03319004469862996,0.8725549354935492,0.8744982284391833,-0.019605160516051767,-0.018756432148196667,0.8818867486748676,0.8839922071804535,-0.010273347334733396,-0.009262453406926552
