dataset,n_train,n_object_cols,l2,msl,n_features,hpdiv_valid_k,hpdiv_skipped_k,base_pub,base_prv,hpdiv_pub,hpdiv_prv,hpdiv_d_pub,hpdiv_d_prv,seedavg_pub,seedavg_prv,seedavg_d_pub,seedavg_d_prv
train_01,14957,5,0.0,20,12,10,,0.7102870983349717,0.7048178137651822,0.7115842216556074,0.7048488582355859,0.0012971233206356958,3.104447040369607e-05,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044
train_02,14929,2,0.0,20,28,10,,0.9643700590861614,0.9634800627240143,0.9661960211563274,0.9656085189452125,0.001825962070166054,0.0021284562211981717,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184
train_03,3501,7,0.0,20,18,10,,0.79257860385303,0.8095448403699343,0.7938345501563253,0.8117662006322603,0.0012559463032952856,0.002221360262326,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855
train_04,8775,0,0.0,20,12,10,,0.8236471114650334,0.8249596159615962,0.8264112046273915,0.8304305630563057,0.002764093162358039,0.005470947094709522,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603
train_05,1060,5,0.0,20,9,10,,0.6531348175078051,0.6568729335399399,0.6512889317830554,0.6590637952756888,-0.0018458857247497518,0.0021908617357488946,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419
train_06,10803,9,0.0,20,9,10,,0.7996932479509196,0.8137084747042992,0.7987320477971276,0.8146746063257695,-0.0009612001537919745,0.0009661316214703008,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236
train_07,10417,6,0.0,20,17,10,,0.823647674944289,0.826507438189261,0.8279656412656882,0.8288977217569737,0.004317966321399136,0.0023902835677127587,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125
train_08,8173,12,0.0,20,12,10,,0.8460265451826358,0.8411095500558378,0.8472345993895067,0.8416898623469465,0.0012080542068709788,0.0005803122911087755,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438
train_09,1109,4,1.0,50,18,10,,0.6204240363998369,0.6334741379351727,0.6240991614870702,0.632921618949433,0.003675125087233333,-0.0005525189857397139,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532
train_10,11800,0,0.0,20,27,10,,0.8368071738891478,0.8477427122593616,0.8450436552069849,0.8555283999014907,0.008236481317837052,0.007785687642129058,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145
train_11,28879,0,0.0,20,20,10,,0.8281288505544799,0.8166544351437908,0.829502168312237,0.8204225126621878,0.0013733177577570643,0.0037680775183970283,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076
train_12,49432,3,0.0,20,8,10,,0.7948877046382947,0.7695051699332349,0.7956398657214065,0.7710358938518882,0.0007521610831118242,0.0015307239186532762,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617
train_13,500,4,1.0,50,9,10,,0.6283801935207741,0.644000096000384,0.6212899251597006,0.6355893423573694,-0.007090268361073515,-0.008410753643014579,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516
train_14,11108,15,0.0,20,23,10,,0.7975249216637995,0.8044250066087149,0.7988524450622594,0.8063281724551328,0.0013275233984598733,0.0019031658464179202,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749
train_15,500,24,1.0,70,30,10,,0.8410969558065426,0.843626698522491,0.8400179012769545,0.8448638645256813,-0.0010790545295881193,0.0012371660031903486,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342
train_16,1809,0,1.0,20,21,10,,0.892160096009601,0.89325466058738,0.892310511051105,0.8928752918467242,0.00015041504150403728,-0.0003793687406558055,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146
