dataset,n_train,ratio,base_l2_fired,msl,base_pub,base_prv,base_l2,base_l2_fired,base_newly_fired,T008_pub,T008_prv,T008_l2,T008_l2_fired,T008_newly_fired,T005_pub,T005_prv,T005_l2,T005_l2_fired,T005_newly_fired,T002_pub,T002_prv,T002_l2,T002_l2_fired,T002_newly_fired
train_01,14957,0.0008022999264558401,False,20,0.7102870983349717,0.7048178137651822,0.0,False,False,0.7102870983349717,0.7048178137651822,0.0,False,False,0.7102870983349717,0.7048178137651822,0.0,False,False,0.7102870983349717,0.7048178137651822,0.0,False,False
train_02,14929,0.001875544242749012,False,20,0.9643700590861614,0.9634800627240143,0.0,False,False,0.9643700590861614,0.9634800627240143,0.0,False,False,0.9643700590861614,0.9634800627240143,0.0,False,False,0.9643700590861614,0.9634800627240143,0.0,False,False
train_03,3501,0.005141388174807198,False,20,0.79257860385303,0.8095448403699343,0.0,False,False,0.79257860385303,0.8095448403699343,0.0,False,False,0.788719717236867,0.8062374426417961,1.0,True,True,0.788719717236867,0.8062374426417961,1.0,True,True
train_04,8775,0.0013675213675213675,False,20,0.8236471114650334,0.8249596159615962,0.0,False,False,0.8236471114650334,0.8249596159615962,0.0,False,False,0.8236471114650334,0.8249596159615962,0.0,False,False,0.8236471114650334,0.8249596159615962,0.0,False,False
train_05,1060,0.008490566037735849,False,20,0.6531348175078051,0.6568729335399399,0.0,False,False,0.6454809163949868,0.6549115517887837,1.0,True,True,0.6454809163949868,0.6549115517887837,1.0,True,True,0.6454809163949868,0.6549115517887837,1.0,True,True
train_06,10803,0.0008331019161344071,False,20,0.7996932479509196,0.8137084747042992,0.0,False,False,0.7996932479509196,0.8137084747042992,0.0,False,False,0.7996932479509196,0.8137084747042992,0.0,False,False,0.7996932479509196,0.8137084747042992,0.0,False,False
train_07,10417,0.0016319477776711145,False,20,0.823647674944289,0.826507438189261,0.0,False,False,0.823647674944289,0.826507438189261,0.0,False,False,0.823647674944289,0.826507438189261,0.0,False,False,0.823647674944289,0.826507438189261,0.0,False,False
train_08,8173,0.0014682491129328276,False,20,0.8460265451826358,0.8411095500558378,0.0,False,False,0.8460265451826358,0.8411095500558378,0.0,False,False,0.8460265451826358,0.8411095500558378,0.0,False,False,0.8460265451826358,0.8411095500558378,0.0,False,False
train_09,1109,0.016230838593327322,True,50,0.6204240363998369,0.6334741379351727,1.0,True,False,0.6204240363998369,0.6334741379351727,1.0,True,False,0.6204240363998369,0.6334741379351727,1.0,True,False,0.6204240363998369,0.6334741379351727,1.0,True,False
train_10,11800,0.002288135593220339,False,20,0.8368071738891478,0.8477427122593616,0.0,False,False,0.8368071738891478,0.8477427122593616,0.0,False,False,0.8368071738891478,0.8477427122593616,0.0,False,False,0.8381897341103576,0.8468305895241265,1.0,True,True
train_11,28879,0.0006925447557048374,False,20,0.8281288505544799,0.8166544351437908,0.0,False,False,0.8281288505544799,0.8166544351437908,0.0,False,False,0.8281288505544799,0.8166544351437908,0.0,False,False,0.8281288505544799,0.8166544351437908,0.0,False,False
train_12,49432,0.0001618384851917786,False,20,0.7948877046382947,0.7695051699332349,0.0,False,False,0.7948877046382947,0.7695051699332349,0.0,False,False,0.7948877046382947,0.7695051699332349,0.0,False,False,0.7948877046382947,0.7695051699332349,0.0,False,False
train_13,500,0.018,True,50,0.6283801935207741,0.644000096000384,1.0,True,False,0.6283801935207741,0.644000096000384,1.0,True,False,0.6283801935207741,0.644000096000384,1.0,True,False,0.6283801935207741,0.644000096000384,1.0,True,False
train_14,11108,0.0020705797623334532,False,20,0.7975249216637995,0.8044250066087149,0.0,False,False,0.7975249216637995,0.8044250066087149,0.0,False,False,0.7975249216637995,0.8044250066087149,0.0,False,False,0.796194038256738,0.804636469480539,1.0,True,True
train_15,500,0.06,True,70,0.8410969558065426,0.843626698522491,1.0,True,False,0.8410969558065426,0.843626698522491,1.0,True,False,0.8410969558065426,0.843626698522491,1.0,True,False,0.8410969558065426,0.843626698522491,1.0,True,False
train_16,1809,0.011608623548922056,True,20,0.892160096009601,0.89325466058738,1.0,True,False,0.892160096009601,0.89325466058738,1.0,True,False,0.892160096009601,0.89325466058738,1.0,True,False,0.892160096009601,0.89325466058738,1.0,True,False
