dataset,n_train,n_object_cols,msl,base_is_seed0,fires_C,fires_D,seed0_hold_auc,base_pub,base_prv,lift5,fires_G_5,avg5_pub,d5_pub,avg5_prv,d5_prv,lift8,fires_G_8,avg8_pub,d8_pub,avg8_prv,d8_prv,lift10,fires_G_10,avg10_pub,d10_pub,avg10_prv,d10_prv
train_01,14957,5,20,True,True,True,0.7118844371997255,0.7102870983349717,0.7048178137651822,0.004513126286890823,True,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.004571465339739067,True,0.7140411879454412,0.0037540896104695243,0.7082008609239729,0.003383047158790786,0.0051868851521390535,True,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044
train_02,14929,2,20,True,True,True,0.9639956482924715,0.9643700590861614,0.9634800627240143,0.0014415748818062957,True,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.0011261047911841349,True,0.9686216770434393,0.004251617957277909,0.9672985471070148,0.0038184843830004755,0.0013985170896376742,True,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184
train_03,3501,7,20,True,True,True,0.7842911358091624,0.79257860385303,0.8095448403699343,0.012224492774777329,True,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.013126342348353748,True,0.8003866247239166,0.007808020870886612,0.8169717236616313,0.00742688329169694,0.013955209875513463,True,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855
train_04,8775,0,20,True,False,True,0.8086671098554097,0.8236471114650334,0.8249596159615962,0.0038299817184642704,True,0.829953379132697,0.006306267667663512,0.8329789778977896,0.008019361936193459,0.0037335881668605353,True,0.8308994953193494,0.007252383854315925,0.8344685668566857,0.009508950895089519,0.003919727438923104,True,0.8309401437482076,0.007293032283174128,0.8345173717371738,0.009557755775577603
train_05,1060,5,20,True,True,True,0.6706733508032356,0.6531348175078051,0.6568729335399399,0.006323345106528655,True,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.014697504842201337,True,0.659430438954397,0.006295621446591904,0.66358762350752,0.0067146899675800675,0.013842998746724344,True,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419
train_06,10803,9,20,True,True,True,0.8033721912114665,0.7996932479509196,0.8137084747042992,-0.000400002193294946,False,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.0001357101341200595,True,0.8000738880118221,0.00038064006090254843,0.8143149275417287,0.0006064528374295497,0.00017793106473518172,True,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236
train_07,10417,6,20,True,True,True,0.8187197700222383,0.823647674944289,0.826507438189261,0.01040878122634381,True,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.010273181131070008,True,0.8293107048981601,0.005663029953871024,0.828779615887064,0.0022721776978029684,0.010961204223176702,True,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125
train_08,8173,12,20,True,True,True,0.8515067049808429,0.8460265451826358,0.8411095500558378,0.003085249042145577,True,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.003508620689655295,True,0.8496740750414848,0.0036475298588490856,0.8427448154952748,0.0016352654394370392,0.003981800766283516,True,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438
train_09,1109,4,50,True,True,True,0.590290357641944,0.6204240363998369,0.6334741379351727,0.047461311526318495,True,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.039076652347187046,True,0.6315982345445436,0.01117419814470666,0.6424482111457783,0.008974073210605615,0.03633352310956983,True,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532
train_10,11800,0,20,True,False,True,0.8422144908830411,0.8368071738891478,0.8477427122593616,0.010688277644249178,True,0.8446204551392729,0.007813281250125037,0.8570319622208364,0.009289249961474844,0.011846139915175913,True,0.8447919751667161,0.007984801277568288,0.8574905839329742,0.009747871673612574,0.011343281112320192,True,0.8451834952293593,0.00837632134021149,0.858015294538033,0.01027258227867145
train_11,28879,0,20,True,False,True,0.8080466276859483,0.8281288505544799,0.8166544351437908,0.005638767574531078,True,0.8315520634971435,0.003423212942663567,0.8213746182452055,0.004720183101414754,0.006357637156717222,True,0.8317808964490887,0.0036520458946087686,0.8216836082864405,0.005029173142649723,0.006458776152161505,True,0.8322891296346674,0.004160279080187457,0.8219660219821598,0.005311586838369076
train_12,49432,3,20,True,True,True,0.7936881287277884,0.7948877046382947,0.7695051699332349,0.0007272529263179228,True,0.7961028263880701,0.0012151217497753386,0.7715084550616449,0.0020032851284099706,0.0010093510533020211,True,0.7963846667939202,0.0014969621556254475,0.7719019760690587,0.0023968061358238257,0.0011143275439899902,True,0.7964709069181061,0.0015832022798113465,0.7718418959152535,0.002336725982018617
train_13,500,4,50,True,True,True,0.7278545826932924,0.6283801935207741,0.644000096000384,-0.01817716333845365,False,0.6353388613554454,0.0069586678346712505,0.6490994763979057,0.005099380397521669,-0.02406554019457252,False,0.6342674970699883,0.0058873035492141845,0.6488302753211013,0.004830179320717276,-0.021505376344086113,False,0.6357132628530514,0.007333069332277287,0.6502162808651235,0.006216184864739516
train_14,11108,15,20,True,True,True,0.7977148216040026,0.7975249216637995,0.8044250066087149,0.005926131100024712,True,0.8019428529737036,0.0044179313099040884,0.8073844467017552,0.0029594400930403886,0.006551162870311877,True,0.8015606119951667,0.004035690331367192,0.8082704625332275,0.0038454559245126863,0.00694485508080811,True,0.8010366106537233,0.0035116889899238224,0.8084732044617946,0.004048197853079749
train_15,500,24,70,True,True,True,0.8430619559651817,0.8410969558065426,0.843626698522491,0.0007680491551459445,True,0.851260780341376,0.010163824534833332,0.8563091705050022,0.012682471982511268,0.0012800819252432039,True,0.8519877796254209,0.010890823818878292,0.8570548311012328,0.01342813257874187,-0.0035842293906810374,False,0.8525452737923801,0.011448317985837453,0.8573192293208023,0.013692530798311342
train_16,1809,0,20,True,False,False,0.8632606915909711,0.892160096009601,0.89325466058738,-0.0017933024053641278,False,0.8897764976497649,-0.0023835983598361477,0.8886729550248839,-0.004581705562496152,-0.0029628474523410997,False,0.8910143814381438,-0.0011457145714571793,0.8892971294058616,-0.0039575311815184255,-0.0038400062375735233,False,0.8915878787878788,-0.0005722172217221821,0.8895427350646159,-0.0037119255227641146
