dataset,n_train,n_object_cols,l2,msl,n_features,k_cols,colbag_valid_k,colbag_skipped_k,base_pub,base_prv,colbag_pub,colbag_prv,colbag_d_pub,colbag_d_prv,seedavg_pub,seedavg_prv,seedavg_d_pub,seedavg_d_prv
train_01,14957,5,0.0,20,12,10,10,,0.7102870983349717,0.7048178137651822,0.7147903098631933,0.7073234545774593,0.004503211528221529,0.00250564081227711,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044
train_02,14929,2,0.0,20,28,23,10,,0.9643700590861614,0.9634800627240143,0.9679482215270241,0.9661874359959036,0.003578162440862731,0.0027073732718893018,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184
train_03,3501,7,0.0,20,18,15,10,,0.79257860385303,0.8095448403699343,0.8027437842338976,0.8198544354557389,0.010165180380867556,0.010309595085804535,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855
train_04,8775,0,0.0,20,12,10,10,,0.8236471114650334,0.8249596159615962,0.8330220154451227,0.8333122912291229,0.009374903980089222,0.008352675267526699,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603
train_05,1060,5,0.0,20,9,8,10,,0.6531348175078051,0.6568729335399399,0.6621630996204733,0.6634737636685816,0.009028282112668151,0.006600830128641655,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419
train_06,10803,9,0.0,20,9,8,10,,0.7996932479509196,0.8137084747042992,0.7986217277794763,0.8138856335091639,-0.0010715201714432965,0.0001771588048646855,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236
train_07,10417,6,0.0,20,17,14,10,,0.823647674944289,0.826507438189261,0.8240223083724411,0.8260455770231911,0.00037463342815202694,-0.0004618611660698324,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125
train_08,8173,12,0.0,20,12,10,10,,0.8460265451826358,0.8411095500558378,0.8487285021408233,0.843025485228014,0.0027019569581875347,0.001915935172176253,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438
train_09,1109,4,1.0,50,18,15,10,,0.6204240363998369,0.6334741379351727,0.6347420779419043,0.6473242351980355,0.014318041542067395,0.013850097262862793,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532
train_10,11800,0,0.0,20,27,22,10,,0.8368071738891478,0.8477427122593616,0.8431532549045208,0.8539232239090091,0.006346081015372929,0.006180511649647502,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145
train_11,28879,0,0.0,20,20,16,10,,0.8281288505544799,0.8166544351437908,0.8261808900481669,0.8167042257670158,-0.0019479605063130734,4.979062322507666e-05,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076
train_12,49432,3,0.0,20,8,7,10,,0.7948877046382947,0.7695051699332349,0.7945925042132062,0.772002136325469,-0.0002952004250885709,0.002496966392234068,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617
train_13,500,4,1.0,50,9,8,10,,0.6283801935207741,0.644000096000384,0.6338306953227814,0.6494240376961508,0.005450501802007235,0.005423941695766765,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516
train_14,11108,15,0.0,20,23,19,10,,0.7975249216637995,0.8044250066087149,0.7973407611923486,0.804019762777542,-0.00018416047145086711,-0.00040524383117290785,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749
train_15,500,24,1.0,70,30,24,10,,0.8410969558065426,0.843626698522491,0.8484404969012896,0.8538735699569361,0.007343541094746997,0.010246871434445137,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342
train_16,1809,0,1.0,20,21,17,10,,0.892160096009601,0.89325466058738,0.8921656965696569,0.8908120443095009,5.600560055940562e-06,-0.002442616277879117,0.8915878787878788,0.8895427350646159,-0.0005722172217221821,-0.0037119255227641146
