dataset,n_train,tiny_gate,l2_fired,msl,base_pub,base_prv,base_es,base_max_iter,base_tiny_fired,F50_pub,F50_prv,F50_es,F50_max_iter,F50_tiny_fired,F100_pub,F100_prv,F100_es,F100_max_iter,F100_tiny_fired,F200_pub,F200_prv,F200_es,F200_max_iter,F200_tiny_fired
train_01,14957,False,False,20,0.7102870983349717,0.7048178137651822,True,300,False,0.7102870983349717,0.7048178137651822,True,300,False,0.7102870983349717,0.7048178137651822,True,300,False,0.7102870983349717,0.7048178137651822,True,300,False
train_02,14929,False,False,20,0.9643700590861614,0.9634800627240143,True,300,False,0.9643700590861614,0.9634800627240143,True,300,False,0.9643700590861614,0.9634800627240143,True,300,False,0.9643700590861614,0.9634800627240143,True,300,False
train_03,3501,False,False,20,0.79257860385303,0.8095448403699343,True,300,False,0.79257860385303,0.8095448403699343,True,300,False,0.79257860385303,0.8095448403699343,True,300,False,0.79257860385303,0.8095448403699343,True,300,False
train_04,8775,False,False,20,0.8236471114650334,0.8249596159615962,True,300,False,0.8236471114650334,0.8249596159615962,True,300,False,0.8236471114650334,0.8249596159615962,True,300,False,0.8236471114650334,0.8249596159615962,True,300,False
train_05,1060,True,False,20,0.6531348175078051,0.6568729335399399,True,300,False,0.6486582462299247,0.6527668580973549,False,50,True,0.6355089038772812,0.6461021768432931,False,100,True,0.6334681199201694,0.6436774343561622,False,200,True
train_06,10803,False,False,20,0.7996932479509196,0.8137084747042992,True,300,False,0.7996932479509196,0.8137084747042992,True,300,False,0.7996932479509196,0.8137084747042992,True,300,False,0.7996932479509196,0.8137084747042992,True,300,False
train_07,10417,False,False,20,0.823647674944289,0.826507438189261,True,300,False,0.823647674944289,0.826507438189261,True,300,False,0.823647674944289,0.826507438189261,True,300,False,0.823647674944289,0.826507438189261,True,300,False
train_08,8173,False,False,20,0.8460265451826358,0.8411095500558378,True,300,False,0.8460265451826358,0.8411095500558378,True,300,False,0.8460265451826358,0.8411095500558378,True,300,False,0.8460265451826358,0.8411095500558378,True,300,False
train_09,1109,True,True,50,0.6204240363998369,0.6334741379351727,True,300,False,0.6191185556691197,0.6271045684983532,False,50,True,0.6105573993057172,0.6235735993531704,False,100,True,0.6073745099046429,0.6177347873665966,False,200,True
train_10,11800,False,False,20,0.8368071738891478,0.8477427122593616,True,300,False,0.8368071738891478,0.8477427122593616,True,300,False,0.8368071738891478,0.8477427122593616,True,300,False,0.8368071738891478,0.8477427122593616,True,300,False
train_11,28879,False,False,20,0.8281288505544799,0.8166544351437908,True,300,False,0.8281288505544799,0.8166544351437908,True,300,False,0.8281288505544799,0.8166544351437908,True,300,False,0.8281288505544799,0.8166544351437908,True,300,False
train_12,49432,False,False,20,0.7948877046382947,0.7695051699332349,True,300,False,0.7948877046382947,0.7695051699332349,True,300,False,0.7948877046382947,0.7695051699332349,True,300,False,0.7948877046382947,0.7695051699332349,True,300,False
train_13,500,True,True,50,0.6283801935207741,0.644000096000384,True,300,False,0.6277884311537246,0.6402053608214433,False,50,True,0.6176476705906824,0.6352887011548046,False,100,True,0.6090377961511846,0.6267853871415485,False,200,True
train_14,11108,False,False,20,0.7975249216637995,0.8044250066087149,True,300,False,0.7975249216637995,0.8044250066087149,True,300,False,0.7975249216637995,0.8044250066087149,True,300,False,0.7975249216637995,0.8044250066087149,True,300,False
train_15,500,True,True,70,0.8410969558065426,0.843626698522491,True,300,False,0.8439925481773077,0.8473455587100888,False,50,True,0.8469682513234285,0.8511762919942235,False,100,True,0.8421702481225187,0.8475491389372631,False,200,True
train_16,1809,True,True,20,0.892160096009601,0.89325466058738,True,300,False,0.8862719871987198,0.8865367458066233,False,50,True,0.892341714171417,0.8909173267352081,False,100,True,0.895513711371137,0.893626509154771,False,200,True
