dataset,l2_fired,cand_A_averaged,b_averaged,c_averaged,base_pub,base_prv,base_msl,cand_A_pub,cand_A_prv,cand_A_msl,cand_B_pub,cand_B_prv,cand_B_msl,cand_C_pub,cand_C_prv,cand_C_msl
train_01,False,True,False,False,0.7102870983349717,0.7048178137651822,20,0.7134039063140003,0.7076811060792754,20,0.7102870983349717,0.7048178137651822,20,0.7102870983349717,0.7048178137651822,20
train_02,False,True,False,False,0.9643700590861614,0.9634800627240143,20,0.9680789445388821,0.9669652457757297,20,0.9643700590861614,0.9634800627240143,20,0.9643700590861614,0.9634800627240143,20
train_03,False,True,False,False,0.79257860385303,0.8095448403699343,20,0.7994244632865726,0.8160000985706614,20,0.79257860385303,0.8095448403699343,20,0.79257860385303,0.8095448403699343,20
train_04,False,True,False,False,0.8236471114650334,0.8249596159615962,20,0.829953379132697,0.8329789778977896,20,0.8236471114650334,0.8249596159615962,20,0.8236471114650334,0.8249596159615962,20
train_05,False,True,False,False,0.6531348175078051,0.6568729335399399,20,0.6560039790320582,0.6607057613718614,20,0.6531348175078051,0.6568729335399399,20,0.6531348175078051,0.6568729335399399,20
train_06,False,True,False,False,0.7996932479509196,0.8137084747042992,20,0.8002211680353869,0.8141016808321695,20,0.7996932479509196,0.8137084747042992,20,0.7996932479509196,0.8137084747042992,20
train_07,False,True,False,False,0.823647674944289,0.826507438189261,20,0.8289275898076023,0.8291196903769802,20,0.823647674944289,0.826507438189261,20,0.823647674944289,0.826507438189261,20
train_08,False,True,False,False,0.8460265451826358,0.8411095500558378,20,0.8491551943129904,0.8428696999171441,20,0.8460265451826358,0.8411095500558378,20,0.8460265451826358,0.8411095500558378,20
train_09,True,True,True,True,0.6204240363998369,0.6334741379351727,50,0.6302716305659158,0.6398176255316574,50,0.6302716305659158,0.6398176255316574,50,0.6302716305659158,0.6398176255316574,50
train_10,False,True,False,False,0.8368071738891478,0.8477427122593616,20,0.8446204551392729,0.8570319622208364,20,0.8368071738891478,0.8477427122593616,20,0.8368071738891478,0.8477427122593616,20
train_11,False,True,False,False,0.8281288505544799,0.8166544351437908,20,0.8315520634971435,0.8213746182452055,20,0.8281288505544799,0.8166544351437908,20,0.8281288505544799,0.8166544351437908,20
train_12,False,True,False,False,0.7948877046382947,0.7695051699332349,20,0.7961028263880701,0.7715084550616449,20,0.7948877046382947,0.7695051699332349,20,0.7948877046382947,0.7695051699332349,20
train_13,True,True,True,True,0.6283801935207741,0.644000096000384,50,0.6353388613554454,0.6490994763979057,50,0.6353388613554454,0.6490994763979057,50,0.6353388613554454,0.6490994763979057,50
train_14,False,True,False,False,0.7975249216637995,0.8044250066087149,20,0.8019428529737036,0.8073844467017552,20,0.7975249216637995,0.8044250066087149,20,0.7975249216637995,0.8044250066087149,20
train_15,True,True,True,True,0.8410969558065426,0.843626698522491,70,0.851260780341376,0.8563091705050022,70,0.851260780341376,0.8563091705050022,70,0.851260780341376,0.8563091705050022,70
train_16,True,True,True,False,0.892160096009601,0.89325466058738,20,0.8897764976497649,0.8886729550248839,20,0.8897764976497649,0.8886729550248839,20,0.892160096009601,0.89325466058738,20
