dataset,n_train,n_object_cols,gate_c,l2,msl,n_before,n_after,rows_dropped,base_pub,base_prv,dedup_pub,dedup_prv,dedup_d_pub,dedup_d_prv
train_01,14957,5,True,0.0,20,14957,14957,0,0.7102870983349717,0.7048178137651822,0.7102870983349717,0.7048178137651822,0.0,0.0
train_02,14929,2,True,0.0,20,14929,14929,0,0.9643700590861614,0.9634800627240143,0.9643700590861614,0.9634800627240143,0.0,0.0
train_03,3501,7,True,0.0,20,3501,3501,0,0.79257860385303,0.8095448403699343,0.79257860385303,0.8095448403699343,0.0,0.0
train_04,8775,0,False,0.0,20,8775,8775,0,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.8249596159615962,0.0,0.0
train_05,1060,5,True,0.0,20,1060,1060,0,0.6531348175078051,0.6568729335399399,0.6531348175078051,0.6568729335399399,0.0,0.0
train_06,10803,9,True,0.0,20,10803,10311,492,0.7996932479509196,0.8137084747042992,0.7994364479098317,0.8112709007781065,-0.0002568000410878568,-0.0024375739261927043
train_07,10417,6,True,0.0,20,10417,10417,0,0.823647674944289,0.826507438189261,0.823647674944289,0.826507438189261,0.0,0.0
train_08,8173,12,True,0.0,20,8173,8168,5,0.8460265451826358,0.8411095500558378,0.8464897286583493,0.8410174878217673,0.00046318347571350227,-9.206223407043357e-05
train_09,1109,4,True,1.0,50,1109,1109,0,0.6204240363998369,0.6334741379351727,0.6204240363998369,0.6334741379351727,0.0,0.0
train_10,11800,0,False,0.0,20,11800,11800,0,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.8477427122593616,0.0,0.0
train_11,28879,0,False,0.0,20,28879,28879,0,0.8281288505544799,0.8166544351437908,0.8281288505544799,0.8166544351437908,0.0,0.0
train_12,49432,3,True,0.0,20,49432,49432,0,0.7948877046382947,0.7695051699332349,0.7948877046382947,0.7695051699332349,0.0,0.0
train_13,500,4,True,1.0,50,500,500,0,0.6283801935207741,0.644000096000384,0.6283801935207741,0.644000096000384,0.0,0.0
train_14,11108,15,True,0.0,20,11108,11108,0,0.7975249216637995,0.8044250066087149,0.7975249216637995,0.8044250066087149,0.0,0.0
train_15,500,24,True,1.0,70,500,500,0,0.8410969558065426,0.843626698522491,0.8410969558065426,0.843626698522491,0.0,0.0
train_16,1809,0,False,1.0,20,1809,1809,0,0.892160096009601,0.89325466058738,0.892160096009601,0.89325466058738,0.0,0.0
