dataset,n_train,n_object_cols,fires,msl,base_is_seed0,obj0_identical,base_pub,base_prv,mean_K5_pub,mean_K5_d_pub,mean_K5_prv,mean_K5_d_prv,mean_K10_pub,mean_K10_d_pub,mean_K10_prv,mean_K10_d_prv,mean_K20_pub,mean_K20_d_pub,mean_K20_prv,mean_K20_d_prv,median_K5_pub,median_K5_d_pub,median_K5_prv,median_K5_d_prv,median_K10_pub,median_K10_d_pub,median_K10_prv,median_K10_d_prv,median_K20_pub,median_K20_d_pub,median_K20_prv,median_K20_d_prv,trim10_K5_pub,trim10_K5_d_pub,trim10_K5_prv,trim10_K5_d_prv,trim10_K10_pub,trim10_K10_d_pub,trim10_K10_prv,trim10_K10_d_prv,trim10_K20_pub,trim10_K20_d_pub,trim10_K20_prv,trim10_K20_d_prv
train_01,14957,5,True,20,True,,0.7102870983349717,0.7048178137651822,0.7134039063140003,0.0031168079790285796,0.7076811060792754,0.002863292314093213,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044,0.7143547887482593,0.0040676904132875835,0.7087300571282266,0.00391224336304441,0.7128511848990333,0.002564086564061596,0.7080688419132354,0.0032510281480532255,0.7137543072110264,0.0034672088760546727,0.7080515594245571,0.0032337456593749536,0.7142021483574997,0.0039150500225280105,0.7082731913395529,0.003455377574370755,0.7131283856086672,0.002841287273695481,0.707820166103919,0.0030023523387368023,0.7139263076513476,0.0036392093163758465,0.7084549775167623,0.003637163751580186,0.7143301486851806,0.00404305035020891,0.7086220415739866,0.0038042278088044057
train_02,14929,2,True,20,True,,0.9643700590861614,0.9634800627240143,0.9680789445388821,0.003708885452720745,0.9669652457757297,0.0034851830517154125,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184,0.969504897392836,0.005134838306674605,0.9679414682539683,0.004461405529953999,0.967808698312409,0.003438639226247653,0.9665623399897594,0.0030822772657450592,0.968611756814877,0.004241697728715632,0.9674686379928314,0.003988575268817129,0.9693796145063182,0.005009555420156797,0.9678539426523297,0.004373879928315394,0.9678935002662463,0.003523441180084963,0.9669828469022017,0.0035027841781873903,0.9687096790710058,0.004339619984844445,0.9675510432667691,0.004070980542754787,0.9694765767403282,0.005106517654166809,0.9679200268817203,0.004439964157705978
train_03,3501,7,True,20,True,,0.79257860385303,0.8095448403699343,0.7994244632865726,0.006845859433542545,0.8160000985706614,0.00645525820072701,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855,0.8007197729215801,0.008141169068550114,0.8169914057904504,0.007446565420516027,0.7995815965863351,0.007002992733305069,0.8149350233721279,0.005390183002193516,0.8006653683167742,0.008086764463744123,0.8166004835082963,0.007055643138361933,0.8004864731750896,0.007907869322059558,0.8167136157446789,0.007168775374744585,0.7993542173409558,0.006775613487925769,0.8159831367360695,0.006438296366135132,0.8005283967234986,0.007949792870468597,0.8168669123252371,0.007322071955302767,0.8007266535039526,0.008148049650922529,0.8169546018097318,0.007409761439797435
train_04,8775,0,False,20,,True,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,,0.6531348175078051,0.6568729335399399,0.6560039790320582,0.0028691615242530943,0.6607057613718614,0.0038328278319215148,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419,0.6618868135524845,0.008751996044679355,0.6653114438659792,0.008438510326039261,0.6558566638453286,0.0027218463375234814,0.6596038093677442,0.002730875827804291,0.662084435393519,0.008949617885713912,0.6645263470707137,0.007653413530773756,0.6618139970735626,0.008679179565757478,0.6649807462452257,0.008107812705285822,0.6562272348370697,0.003092417329264574,0.6608675495618357,0.003994616021895769,0.6618061466720946,0.008671329164289476,0.6650615603262713,0.008188626786331366,0.6620564783515567,0.008921660843751567,0.6651102888167234,0.008237355276783487
train_06,10803,9,True,20,True,,0.7996932479509196,0.8137084747042992,0.8002211680353869,0.0005279200844673371,0.8141016808321695,0.00039320612787030473,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236,0.8006132480981196,0.0009200001472000618,0.8143950250862949,0.0006865503819957208,0.8000992480158797,0.00040600006496016583,0.8141723363085449,0.00046386160424571887,0.8002665280426444,0.0005732800917248593,0.8138509059024288,0.00014243119812962224,0.8004114080658253,0.0007181601149057748,0.8142315492785539,0.0005230745742547116,0.8003636480581837,0.0006704001072641574,0.8141553725928128,0.0004468978885135977,0.8002001280320205,0.0005068800811008911,0.8142407512941636,0.0005322765898644333,0.8005855680936909,0.0008923201427712968,0.8144267120270023,0.0007182373227031524
train_07,10417,6,True,20,True,,0.823647674944289,0.826507438189261,0.8289275898076023,0.005279914863313251,0.8291196903769802,0.0026122521877192106,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125,0.8295353889362315,0.005887713991942434,0.8298361673140886,0.003328729124827623,0.8281235922240759,0.004475917279786912,0.8288540321872103,0.002346593997949342,0.8295021024120728,0.0058544274677837516,0.8286459866169086,0.002138548427647602,0.8294844989617964,0.005836824017507403,0.8292224328816984,0.0027149946924374113,0.8286681789630768,0.00502050401878773,0.8288693955524018,0.002361957363140821,0.8296813375421581,0.006033662597869083,0.8288133832834743,0.0023059450942133353,0.8295213061760105,0.005873631231721466,0.8297679923810513,0.003260554191790277
train_08,8173,12,True,20,True,,0.8460265451826358,0.8411095500558378,0.8491551943129904,0.0031286491303545994,0.8428696999171441,0.0017601498613063482,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438,0.8495529175117283,0.0035263723290925864,0.842833035131749,0.0017234850759112463,0.8491965671286337,0.003170021945997914,0.842650191529474,0.001540641473636195,0.8494973002837357,0.0034707551010999538,0.8433164018876762,0.002206851831838441,0.849301799725483,0.0032752545428472724,0.8429572791206855,0.0018477290648477585,0.8492392203408927,0.0032126751582569613,0.8428054965156446,0.001695946459806863,0.8496447859689018,0.003618240786266047,0.8429534365230895,0.001843886467251754,0.8495597996435376,0.0035332544609018024,0.8428607338560867,0.0017511838002489677
train_09,1109,4,True,50,True,,0.6204240363998369,0.6334741379351727,0.6302716305659158,0.009847594166078943,0.6398176255316574,0.0063434875964847315,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532,0.6318560341838161,0.011431997783979186,0.6448150981533256,0.011340960218152896,0.6309738985466404,0.010549862146803535,0.6392940685894797,0.005819930654306971,0.6319147632139918,0.011490726814154861,0.6429023231879242,0.009428185252751464,0.6320664665398952,0.01164243014005828,0.6442507383320967,0.010776600396923963,0.630660810406208,0.01023677400637113,0.6384677702858713,0.004993632350698607,0.6317185730477919,0.011294536647954989,0.6426979887700877,0.009223850834914948,0.631914443164781,0.011490406764944061,0.6447101307468255,0.011235992811652773
train_10,11800,0,False,20,,True,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
