dataset,n_train,n_object_cols,n_features,ratio,l2,msl,gate_fired,n_fits,base_public,base_private,cand_public,cand_private,delta_public,delta_private,cand_equals_base
train_01,14957,5,12,0.0008022999264558401,0.0,20,True,10,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.7085393096605912,0.0036643293806831734,0.003721495895409044,False
train_02,14929,2,28,0.001875544242749012,0.0,20,True,10,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.9675616039426523,0.0044218618796977305,0.0040815412186380184,False
train_03,3501,7,18,0.005141388174807198,0.0,20,True,10,0.79257860385303,0.8095448403699343,0.800472551996801,0.8168217874445299,0.007893948143770979,0.0072769470745955855,False
train_04,8775,0,12,0.0013675213675213675,0.0,20,True,10,0.8236471114650334,0.8249596159615962,0.8309401437482076,0.8345173717371738,0.007293032283174128,0.009557755775577603,False
train_05,1060,5,9,0.008490566037735849,0.0,20,True,10,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.6652052653654373,0.008396485006774701,0.008332331825497419,False
train_06,10803,9,9,0.0008331019161344071,0.0,20,True,10,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.8142076240379693,0.0005089600814337514,0.0004991493336701236,False
train_07,10417,6,17,0.0016319477776711145,0.0,20,True,10,0.823647674944289,0.826507438189261,0.8296328480382154,0.8290131070309641,0.0059851730939263215,0.0025056688417031125,False
train_08,8173,12,12,0.0014682491129328276,0.0,20,True,10,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.8428299930753188,0.00365009065208044,0.0017204430194810438,False
train_09,1109,4,18,0.016230838593327322,1.0,50,True,10,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.6427789544830282,0.011097706383333406,0.009304816547855532,False
train_10,11800,0,27,0.002288135593220339,0.0,20,True,10,0.8368071738891478,0.8477427122593616,0.8451834952293593,0.858015294538033,0.00837632134021149,0.01027258227867145,False
train_11,28879,0,20,0.0006925447557048374,0.0,20,True,10,0.8281288505544799,0.8166544351437908,0.8322891296346674,0.8219660219821598,0.004160279080187457,0.005311586838369076,False
train_12,49432,3,8,0.0001618384851917786,0.0,20,True,10,0.7948877046382947,0.7695051699332349,0.7964709069181061,0.7718418959152535,0.0015832022798113465,0.002336725982018617,False
train_13,500,4,9,0.018,1.0,50,True,10,0.6283801935207741,0.644000096000384,0.6357132628530514,0.6502162808651235,0.007333069332277287,0.006216184864739516,False
train_14,11108,15,23,0.0020705797623334532,0.0,20,True,10,0.7975249216637995,0.8044250066087149,0.8010366106537233,0.8084732044617946,0.0035116889899238224,0.004048197853079749,False
train_15,500,24,30,0.06,1.0,70,True,10,0.8410969558065426,0.843626698522491,0.8525452737923801,0.8573192293208023,0.011448317985837453,0.013692530798311342,False
train_16,1809,0,21,0.011608623548922056,1.0,20,False,1,0.892160096009601,0.89325466058738,0.892160096009601,0.89325466058738,0.0,0.0,True
