config,n_estimators,max_features,dataset,n_train,n_object_cols,gate_c,gate_d,l2,msl,base_public,base_private,blend_public,blend_private,delta_public,delta_private
ne100_mfsqrt,100,sqrt,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7109999001597445,0.7032159831015666,0.0007128018247727352,-0.0016018306636155222
ne100_mfsqrt,100,sqrt,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9581839965592809,0.957799059139785,-0.006186062526880476,-0.005681003584229294
ne100_mfsqrt,100,sqrt,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.7958036768232063,0.8120405503059211,0.003225072970176268,0.0024957099359868007
ne100_mfsqrt,100,sqrt,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8248565622567494,0.8284318831883188,0.0012094507917159714,0.0034722672267226695
ne100_mfsqrt,100,sqrt,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6603098441310798,0.6708123223390443,0.007175026623274738,0.01393938879910439
ne100_mfsqrt,100,sqrt,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.795038287206126,0.805745690536055,-0.004654960744793546,-0.007962784168244141
ne100_mfsqrt,100,sqrt,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8231493372701049,0.8254166392606637,-0.0004983376741841683,-0.001090798928597314
ne100_mfsqrt,100,sqrt,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8460284657775592,0.8400570785851236,1.9205949234324393e-06,-0.0010524714707141891
ne100_mfsqrt,100,sqrt,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6294872699626294,0.6435242870736959,0.009063233562792483,0.010050149138523201
ne100_mfsqrt,100,sqrt,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8245020519203283,0.8409887634480095,-0.012305121968819499,-0.006753948811352051
