config,n_estimators,max_features,dataset,n_train,n_object_cols,gate_c,gate_d,l2,msl,base_public,base_private,blend_public,blend_private,delta_public,delta_private
ne100_mfsqrt,100,sqrt,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8292478916964043,0.8152610181365947,0.001119041141924404,-0.001393417007196085
ne100_mfsqrt,100,sqrt,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7891048163109355,0.7667614829093962,-0.005782888327359181,-0.002743687023838759
ne100_mfsqrt,100,sqrt,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.6298997995991984,0.6456821827287309,0.0015196060784242738,0.0016820867283469099
ne100_mfsqrt,100,sqrt,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7896819415857704,0.7952509743453852,-0.007842980078029083,-0.00917403226332969
ne100_mfsqrt,100,sqrt,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8498313512118816,0.8536046904116114,0.008734395405338935,0.009977991889120408
ne100_mfsqrt,100,sqrt,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.8869272527252725,0.8841278103047494,-0.005232843284328492,-0.009126850282630605
ne300_mfsqrt,300,sqrt,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7122455033484886,0.7042363700372853,0.0019584050135168507,-0.0005814437278968132
ne300_mfsqrt,300,sqrt,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9592052200882709,0.959371079749104,-0.005164838997890442,-0.004108982974910358
ne300_mfsqrt,300,sqrt,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.7973305260557253,0.813403097679045,0.004751922202695269,0.003858257309110602
ne300_mfsqrt,300,sqrt,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8259218231492482,0.8298090609060906,0.0022747116842147808,0.004849444944494463
ne300_mfsqrt,300,sqrt,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6620896422924518,0.6726431213374617,0.008954824784646709,0.015770187797521817
ne300_mfsqrt,300,sqrt,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.7942131670741067,0.8066180416158354,-0.005480080876812843,-0.007090433088463799
ne300_mfsqrt,300,sqrt,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8249756952362663,0.82567293539977,0.0013280202919773165,-0.0008345027894909318
ne300_mfsqrt,300,sqrt,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8454978214051585,0.8404727195584216,-0.000528723777477258,-0.000636830497416141
ne300_mfsqrt,300,sqrt,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6299058943303123,0.6453987393350474,0.009481857930475401,0.011924601399874724
ne300_mfsqrt,300,sqrt,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.829337012693922,0.8442830467267677,-0.007470161195225811,-0.003459665532593914
ne300_mfsqrt,300,sqrt,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8312371381478934,0.8168811345730078,0.003108287593413417,0.00022669942921704767
ne300_mfsqrt,300,sqrt,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7898967374513018,0.7666770026931269,-0.0049909671869928784,-0.002828167240108037
ne300_mfsqrt,300,sqrt,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.6287749150996604,0.6462961051844207,0.00039472157888631454,0.002296009184036718
ne300_mfsqrt,300,sqrt,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7902390630120013,0.7967803397615485,-0.007285858651798205,-0.007644666847166359
ne300_mfsqrt,300,sqrt,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8531912019321344,0.8573863691834592,0.012094246125591734,0.013759670660968282
ne300_mfsqrt,300,sqrt,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.887103190319032,0.8851527139185288,-0.005056905690569047,-0.008101946668851223
ne500_mfsqrt,500,sqrt,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7111558205589007,0.7042215679057784,0.0008687222239289749,-0.0005962458594037656
ne500_mfsqrt,500,sqrt,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9595985091496507,0.9599635976702511,-0.004771549936510633,-0.0035164650537632403
ne500_mfsqrt,500,sqrt,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.797521182192861,0.8139151530629554,0.0049425783398309164,0.004370312693021017
ne500_mfsqrt,500,sqrt,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.826424647414888,0.8300354835483549,0.002777535949854526,0.005075867586758709
ne500_mfsqrt,500,sqrt,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6624587713737193,0.67305655337386,0.009323953865914225,0.016183619833920027
ne500_mfsqrt,500,sqrt,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.7941788470686155,0.8065464259291355,-0.005514400882304038,-0.007162048775163687
ne500_mfsqrt,500,sqrt,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8253660917539838,0.8257131041983434,0.001718416809694756,-0.0007943339909175506
ne500_mfsqrt,500,sqrt,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8456110564808555,0.8410338188615505,-0.0004154887017802089,-7.573119428727626e-05
ne500_mfsqrt,500,sqrt,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6302737908980884,0.6463990499169621,0.00984975449825154,0.012924911981789355
ne500_mfsqrt,500,sqrt,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8299962127993941,0.8451978898280553,-0.006810961089753764,-0.0025448224313062706
ne500_mfsqrt,500,sqrt,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8311650477668784,0.8168593611815012,0.0030361972123984504,0.00020492603771038453
ne500_mfsqrt,500,sqrt,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7898895374409339,0.7669430033740887,-0.004998167197360792,-0.002562166559146206
ne500_mfsqrt,500,sqrt,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.6294685978743915,0.6458963435853744,0.0010884043536173449,0.001896247584990407
ne500_mfsqrt,500,sqrt,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7894816210729501,0.7964634254841003,-0.008043300590849456,-0.007961581124614536
ne500_mfsqrt,500,sqrt,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8538440127159248,0.8579659006320429,0.01274705690938216,0.014339202109551974
ne500_mfsqrt,500,sqrt,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.887288088808881,0.8858589701906733,-0.004872007200720008,-0.007395690396706733
ne100_mf0.5,100,0.5,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7071230902351109,0.6995567361700086,-0.0031640080998608378,-0.00526107759517358
ne100_mf0.5,100,0.5,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9577462264730578,0.9573446300563236,-0.006623832613103509,-0.006135432667690677
ne100_mf0.5,100,0.5,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.7938834342938785,0.8112684667973689,0.0013048304408485034,0.0017236264274345103
ne100_mf0.5,100,0.5,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8244319942183211,0.8295568756875686,0.0007848827532876967,0.004597259725972469
ne100_mf0.5,100,0.5,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6591972499883446,0.6679222187673981,0.0060624324805395036,0.011049285227458183
ne100_mf0.5,100,0.5,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.7916470066635211,0.8040816460437494,-0.008046241287398503,-0.009626828660549758
ne100_mf0.5,100,0.5,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8242393909206205,0.8241753273637058,0.0005917159763314528,-0.002332110825555178
ne100_mf0.5,100,0.5,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8423015513285396,0.8389561743738767,-0.0037249938540961924,-0.002153375681961056
ne100_mf0.5,100,0.5,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6260051345494884,0.6393435920838575,0.0055810981496514644,0.005869454148684783
ne100_mf0.5,100,0.5,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8344231735077077,0.8486241108603574,-0.0023840003814401545,0.0008813986009957864
ne100_mf0.5,100,0.5,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.831198012513802,0.8191410044833974,0.003069161959322053,0.00248656933960667
ne100_mf0.5,100,0.5,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7907259386453517,0.7646937176159172,-0.004161765992943045,-0.0048114523173177215
ne100_mf0.5,100,0.5,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.62811995247981,0.6429162516650067,-0.0002602410409641154,-0.0010838443353773375
ne100_mf0.5,100,0.5,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7976107618835505,0.802685778493802,8.584021975099887e-05,-0.001739228114912894
ne100_mf0.5,100,0.5,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8468569285576747,0.8489497933068519,0.0057599727511320475,0.005323094784360993
ne100_mf0.5,100,0.5,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.8898237023702371,0.8893663310002662,-0.0023363936393638873,-0.0038883295871138257
ne300_mf0.5,300,0.5,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.708776214467109,0.701516778416092,-0.001510883867862689,-0.003301035349090209
ne300_mf0.5,300,0.5,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9585775256261905,0.9579891513056836,-0.005792533459970883,-0.005490911418330691
ne300_mf0.5,300,0.5,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.7944002780395333,0.812233611187386,0.0018216741865032526,0.002688770817451669
ne300_mf0.5,300,0.5,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8259267841779672,0.8303239123912391,0.0022796727129337224,0.0053642964296429785
ne300_mf0.5,300,0.5,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6604022065075343,0.6685471276515219,0.00726738899972923,0.011674194111581992
ne300_mf0.5,300,0.5,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.792175006748001,0.8052759076348084,-0.007518241202918552,-0.008432567069490804
ne300_mf0.5,300,0.5,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8249798560517861,0.8254166392606637,0.0013321811074971102,-0.001090798928597314
ne300_mf0.5,300,0.5,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.842556030155901,0.8388942925417582,-0.0034705150267347884,-0.0022152575140795827
ne300_mf0.5,300,0.5,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6249187275035409,0.6421326688811163,0.0044946911037040405,0.008658530945943599
ne300_mf0.5,300,0.5,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8345256535241045,0.8506415023205521,-0.0022815203650433658,0.002898790061190537
ne300_mf0.5,300,0.5,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8324921188651165,0.8199308502701502,0.004363268310636603,0.0032764151263594554
ne300_mf0.5,300,0.5,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.791803540197098,0.765299399166462,-0.003084164441196746,-0.004205770766772976
ne300_mf0.5,300,0.5,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.6289609158436634,0.6442904971619887,0.0005807223228893044,0.0002904011616047253
ne300_mf0.5,300,0.5,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7995281267920047,0.8041559375062006,0.0020032051282051766,-0.00026906910251423
ne300_mf0.5,300,0.5,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8479655944627689,0.850702071700892,0.0068686386562262225,0.007075373178401012
ne300_mf0.5,300,0.5,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.8914214621462145,0.8906319601603621,-0.000738633863386462,-0.0026227004270179544
ne500_mf0.5,500,0.5,train_01,14957,5,True,False,0.0,20,0.7102870983349717,0.7048178137651822,0.7086980542670189,0.7013445936214815,-0.001589044067952794,-0.0034732201437006616
ne500_mf0.5,500,0.5,train_02,14929,2,True,False,0.0,20,0.9643700590861614,0.9634800627240143,0.9587092086601675,0.9581867639528929,-0.005660850425993846,-0.005293298771121391
ne500_mf0.5,500,0.5,train_03,3501,7,True,True,0.0,20,0.79257860385303,0.8095448403699343,0.7945563712512627,0.8122957779113389,0.0019777673982326327,0.002750937541404541
ne500_mf0.5,500,0.5,train_04,8775,0,False,False,0.0,20,0.8236471114650334,0.8249596159615962,0.8267251897353436,0.8304837683768377,0.0030780782703101472,0.005524152415241512
ne500_mf0.5,500,0.5,train_05,1060,5,True,True,0.0,20,0.6531348175078051,0.6568729335399399,0.6612224132486579,0.6686461048973172,0.008087595740852827,0.011773171357377321
ne500_mf0.5,500,0.5,train_06,10803,9,True,False,0.0,20,0.7996932479509196,0.8137084747042992,0.7924955667992908,0.805318396941666,-0.007197681151628776,-0.00839007776263323
ne500_mf0.5,500,0.5,train_07,10417,6,True,False,0.0,20,0.823647674944289,0.826507438189261,0.8252746338282303,0.8257607146269319,0.0016269588839412652,-0.0007467235623290769
ne500_mf0.5,500,0.5,train_08,8173,12,True,False,0.0,20,0.8460265451826358,0.8411095500558378,0.8425397050990515,0.8391581509100152,-0.0034868400835842417,-0.001951399145822541
ne500_mf0.5,500,0.5,train_09,1109,4,True,True,1.0,50,0.6204240363998369,0.6334741379351727,0.6254290459701084,0.6426331841974771,0.005005009570271501,0.009159046262304349
ne500_mf0.5,500,0.5,train_10,11800,0,False,False,0.0,20,0.8368071738891478,0.8477427122593616,0.8346732535477207,0.8508752137687648,-0.00213392034142712,0.0031325015094032516
ne500_mf0.5,500,0.5,train_11,28879,0,False,False,0.0,20,0.8281288505544799,0.8166544351437908,0.8323235345889809,0.8198616076831895,0.004194684034500962,0.0032071725393987283
ne500_mf0.5,500,0.5,train_12,49432,3,True,False,0.0,20,0.7948877046382947,0.7695051699332349,0.7919713804387878,0.7653857993876464,-0.0029163241995069367,-0.00411937054558853
ne500_mf0.5,500,0.5,train_13,500,4,True,True,1.0,50,0.6283801935207741,0.644000096000384,0.6294026776107104,0.644559378237513,0.0010224840899363263,0.0005592822371289774
ne500_mf0.5,500,0.5,train_14,11108,15,True,False,0.0,20,0.7975249216637995,0.8044250066087149,0.7996190870248627,0.8046715132708755,0.002094165361063216,0.0002465066621606393
ne500_mf0.5,500,0.5,train_15,500,24,True,True,1.0,70,0.8410969558065426,0.843626698522491,0.8477386272710525,0.8506633402425774,0.006641671464509891,0.007036641720086445
ne500_mf0.5,500,0.5,train_16,1809,0,False,False,1.0,20,0.892160096009601,0.89325466058738,0.8914521852185218,0.8908476451297437,-0.0007079107910792359,-0.00240701545763633
