dataset,n_train,n_object_cols,fires,msl,base_is_seed0,base_pub,base_prv,SET_A_pub,SET_A_d_pub,SET_A_prv,SET_A_d_prv,SET_B_pub,SET_B_d_pub,SET_B_prv,SET_B_d_prv,SET_C_pub,SET_C_d_pub,SET_C_prv,SET_C_d_prv,SET_D_pub,SET_D_d_pub,SET_D_prv,SET_D_d_prv,SET_E_pub,SET_E_d_pub,SET_E_prv,SET_E_d_prv
train_01,14957,5,True,20,True,0.7102870983349717,0.7048178137651822,0.7139514277156549,0.0036643293806831734,0.7085393096605912,0.003721495895409044,0.7142547884922584,0.003967690157286707,0.7084964234849818,0.003678609719799608,0.7140599079933645,0.003772809658392773,0.7090947496439487,0.004276935878766541,0.7139407076882116,0.003653609353239884,0.7080091533180778,0.0031913395528956334,0.7133987863008928,0.003111687965921095,0.7094626426205374,0.004644828855355221
train_02,14929,2,True,20,True,0.9643700590861614,0.9634800627240143,0.9687919209658591,0.0044218618796977305,0.9675616039426523,0.0040815412186380184,0.9698044242939359,0.005434365207774516,0.9678765040962621,0.004396441372247817,0.9690130460605813,0.004642986974419894,0.9673547107014848,0.0038746479774705023,0.969620100047105,0.005250040960943614,0.9673964733742959,0.003916410650281588,0.9693140129948593,0.004943953908697951,0.9675664042498721,0.00408634152585774
train_03,3501,7,True,20,True,0.79257860385303,0.8095448403699343,0.800472551996801,0.007893948143770979,0.8168217874445299,0.0072769470745955855,0.8002800557039148,0.007701451850884777,0.8162246028530445,0.0066797624831101965,0.8010617218641385,0.00848311801110846,0.8168345888291277,0.00728974845919339,0.7991954839057578,0.006616880052727758,0.8158807256592873,0.006335885289352916,0.7994169426500258,0.006838338796995802,0.8164892714796033,0.006944431109668914
train_04,8775,0,False,20,,0.8236471114650334,0.8249596159615962,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0,0.8236471114650334,0.0,0.8249596159615962,0.0
train_05,1060,5,True,20,True,0.6531348175078051,0.6568729335399399,0.6615313025145798,0.008396485006774701,0.6652052653654373,0.008332331825497419,0.6614246011395258,0.008289783631720726,0.6645305878096199,0.007657654269680014,0.6590760494024163,0.005941231894611154,0.6658884243990674,0.00901549085912745,0.6591517497022856,0.006016932194480518,0.6621810584276203,0.005308124887680399,0.6572726199305032,0.0041378024226981225,0.6637961398394057,0.006923206299465745
train_06,10803,9,True,20,True,0.7996932479509196,0.8137084747042992,0.8002022080323533,0.0005089600814337514,0.8142076240379693,0.0004991493336701236,0.8007690881230541,0.001075840172134579,0.8144870452423899,0.0007785705380907171,0.80091068814571,0.00121744019479042,0.8140048596244522,0.00029638492015304774,0.8003590080574413,0.0006657601065217511,0.8144119888020271,0.000703514097727953,0.800103088016494,0.0004098400655744294,0.8142553144840846,0.0005468397797854241
train_07,10417,6,True,20,True,0.823647674944289,0.826507438189261,0.8296328480382154,0.0059851730939263215,0.8290131070309641,0.0025056688417031125,0.8285824021508215,0.00493472720653243,0.8299915613515985,0.0034841231623374824,0.8283671599633529,0.004719485019063829,0.8287236036181365,0.002216165428875483,0.8290540145868591,0.0054063396425700905,0.83015015609019,0.003642717900929071,0.8295800376873868,0.005932362743097719,0.8300378114822271,0.003530373292966127
train_08,8173,12,True,20,True,0.8460265451826358,0.8411095500558378,0.8496766358347162,0.00365009065208044,0.8428299930753188,0.0017204430194810438,0.849179201749534,0.0031526565668982265,0.8425642134082639,0.0014546633524261665,0.8494608890049782,0.0034343438223424227,0.8432288226841345,0.002119272628296698,0.8486739252350808,0.0026473800524450253,0.8425049733619926,0.0013954233061548305,0.8490620454592015,0.003035500276565739,0.8429833767626915,0.001873826706853765
train_09,1109,4,True,50,True,0.6204240363998369,0.6334741379351727,0.6315217427831703,0.011097706383333406,0.6427789544830282,0.009304816547855532,0.6310751141095455,0.010651077709708634,0.6456589976988776,0.01218485976370487,0.6282322769949107,0.00780824059507379,0.6414382198807949,0.007964081945622148,0.6292828385292522,0.008858802129415255,0.6431461803944887,0.009672042459315966,0.6318441923630178,0.011420155963180911,0.6471061398092249,0.013632001874052224
train_10,11800,0,False,20,,0.8368071738891478,0.8477427122593616,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0,0.8368071738891478,0.0,0.8477427122593616,0.0
