dataset,n_train,n_object_cols,n_features,ratio,l2,msl,gate_fired,n_fits,base_public,base_private,cand_public,cand_private,delta_public,delta_private,cand_equals_base
train_01,14957,5,12,0.0008022999264558401,0.0,20,True,11,0.7102870983349717,0.7048178137651822,0.7142547884922584,0.7084964234849818,0.003967690157286707,0.003678609719799608,False
train_02,14929,2,28,0.001875544242749012,0.0,20,True,11,0.9643700590861614,0.9634800627240143,0.9698044242939359,0.9678765040962621,0.005434365207774516,0.004396441372247817,False
train_03,3501,7,18,0.005141388174807198,0.0,20,True,11,0.79257860385303,0.8095448403699343,0.8002800557039148,0.8162246028530445,0.007701451850884777,0.0066797624831101965,False
train_04,8775,0,12,0.0013675213675213675,0.0,20,True,11,0.8236471114650334,0.8249596159615962,0.8311174605166127,0.8333090909090909,0.007470349051579284,0.008349474947494717,False
train_05,1060,5,9,0.008490566037735849,0.0,20,True,11,0.6531348175078051,0.6568729335399399,0.6614246011395258,0.6645305878096199,0.008289783631720726,0.007657654269680014,False
train_06,10803,9,9,0.0008331019161344071,0.0,20,True,11,0.7996932479509196,0.8137084747042992,0.8007690881230541,0.8144870452423899,0.001075840172134579,0.0007785705380907171,False
train_07,10417,6,17,0.0016319477776711145,0.0,20,True,11,0.823647674944289,0.826507438189261,0.8285824021508215,0.8299915613515985,0.00493472720653243,0.0034841231623374824,False
train_08,8173,12,12,0.0014682491129328276,0.0,20,True,11,0.8460265451826358,0.8411095500558378,0.849179201749534,0.8425642134082639,0.0031526565668982265,0.0014546633524261665,False
train_09,1109,4,18,0.016230838593327322,1.0,50,True,11,0.6204240363998369,0.6334741379351727,0.6310751141095455,0.6456589976988776,0.010651077709708634,0.01218485976370487,False
train_10,11800,0,27,0.002288135593220339,0.0,20,True,11,0.8368071738891478,0.8477427122593616,0.8468852555016408,0.8591735303902494,0.010078081612493017,0.011430818130887754,False
train_11,28879,0,20,0.0006925447557048374,0.0,20,True,11,0.8281288505544799,0.8166544351437908,0.8321641516378357,0.8216299753000086,0.004035301083355813,0.004975540156217817,False
train_12,49432,3,8,0.0001618384851917786,0.0,20,True,11,0.7948877046382947,0.7695051699332349,0.7958385860075639,0.7719410961692061,0.0009508813692691298,0.0024359262359712197,False
train_13,500,4,9,0.018,1.0,50,True,11,0.6283801935207741,0.644000096000384,0.633316773267093,0.6470931483725936,0.004936579746318892,0.0030930523722095815,False
train_14,11108,15,23,0.0020705797623334532,0.0,20,True,11,0.7975249216637995,0.8044250066087149,0.8022718138158433,0.8076471951206243,0.0047468921520438245,0.003222188511909474,False
train_15,500,24,30,0.06,1.0,70,True,11,0.8410969558065426,0.843626698522491,0.8535384553330008,0.8579530168204962,0.012441499526458122,0.014326318298005236,False
train_16,1809,0,21,0.011608623548922056,1.0,20,False,1,0.892160096009601,0.89325466058738,0.892160096009601,0.89325466058738,0.0,0.0,True
