dataset,l2_fired,base_pub,base_prv,base_msl,base_mln,base_mln_fired,mln_20_pub,mln_20_prv,mln_20_msl,mln_20_mln,mln_20_mln_fired,mln_15_pub,mln_15_prv,mln_15_msl,mln_15_mln,mln_15_mln_fired
train_01,False,0.7102870983349717,0.7048178137651822,20,31,False,0.7102870983349717,0.7048178137651822,20,31,False,0.7102870983349717,0.7048178137651822,20,31,False
train_02,False,0.9643700590861614,0.9634800627240143,20,31,False,0.9643700590861614,0.9634800627240143,20,31,False,0.9643700590861614,0.9634800627240143,20,31,False
train_03,False,0.79257860385303,0.8095448403699343,20,31,False,0.79257860385303,0.8095448403699343,20,31,False,0.79257860385303,0.8095448403699343,20,31,False
train_04,False,0.8236471114650334,0.8249596159615962,20,31,False,0.8236471114650334,0.8249596159615962,20,31,False,0.8236471114650334,0.8249596159615962,20,31,False
train_05,False,0.6531348175078051,0.6568729335399399,20,31,False,0.6531348175078051,0.6568729335399399,20,31,False,0.6531348175078051,0.6568729335399399,20,31,False
train_06,False,0.7996932479509196,0.8137084747042992,20,31,False,0.7996932479509196,0.8137084747042992,20,31,False,0.7996932479509196,0.8137084747042992,20,31,False
train_07,False,0.823647674944289,0.826507438189261,20,31,False,0.823647674944289,0.826507438189261,20,31,False,0.823647674944289,0.826507438189261,20,31,False
train_08,False,0.8460265451826358,0.8411095500558378,20,31,False,0.8460265451826358,0.8411095500558378,20,31,False,0.8460265451826358,0.8411095500558378,20,31,False
train_09,True,0.6204240363998369,0.6334741379351727,50,31,False,0.6204240363998369,0.6334741379351727,50,20,True,0.6208541825391072,0.6287790866523542,50,15,True
train_10,False,0.8368071738891478,0.8477427122593616,20,31,False,0.8368071738891478,0.8477427122593616,20,31,False,0.8368071738891478,0.8477427122593616,20,31,False
train_11,False,0.8281288505544799,0.8166544351437908,20,31,False,0.8281288505544799,0.8166544351437908,20,31,False,0.8281288505544799,0.8166544351437908,20,31,False
train_12,False,0.7948877046382947,0.7695051699332349,20,31,False,0.7948877046382947,0.7695051699332349,20,31,False,0.7948877046382947,0.7695051699332349,20,31,False
train_13,True,0.6283801935207741,0.644000096000384,50,31,False,0.6283801935207741,0.644000096000384,50,20,True,0.6283801935207741,0.644000096000384,50,15,True
train_14,False,0.7975249216637995,0.8044250066087149,20,31,False,0.7975249216637995,0.8044250066087149,20,31,False,0.7975249216637995,0.8044250066087149,20,31,False
train_15,True,0.8410969558065426,0.843626698522491,70,31,False,0.8410969558065426,0.843626698522491,70,20,True,0.8410969558065426,0.843626698522491,70,15,True
train_16,True,0.892160096009601,0.89325466058738,20,31,False,0.884390199019902,0.8858148091732033,20,20,True,0.8752769676967698,0.8778651860138857,20,15,True
