dataset,l2_fired,minority_frac,base_pub,base_prv,base_msl,base_cw,base_cw_fired,cw_global_pub,cw_global_prv,cw_global_msl,cw_global_cw,cw_global_cw_fired,cw_gated_pub,cw_gated_prv,cw_gated_msl,cw_gated_cw,cw_gated_cw_fired
train_01,False,0.49742595440262083,0.7102870983349717,0.7048178137651822,20,None,False,0.7104651787908578,0.7028786545262518,20,balanced,True,0.7102870983349717,0.7048178137651822,20,None,False
train_02,False,0.49681827315962224,0.9643700590861614,0.9634800627240143,20,None,False,0.9646167847707211,0.9619054019457246,20,balanced,True,0.9643700590861614,0.9634800627240143,20,None,False
train_03,False,0.4952870608397601,0.79257860385303,0.8095448403699343,20,None,False,0.7893396097045654,0.805992616161364,20,balanced,True,0.79257860385303,0.8095448403699343,20,None,False
train_04,False,0.49880341880341883,0.8236471114650334,0.8249596159615962,20,None,False,0.8206248847761072,0.8238052605260526,20,balanced,True,0.8236471114650334,0.8249596159615962,20,None,False
train_05,False,0.49433962264150944,0.6531348175078051,0.6568729335399399,20,None,False,0.6454692208989222,0.6548495409840209,20,balanced,True,0.6531348175078051,0.6568729335399399,20,None,False
train_06,False,0.4962510413773952,0.7996932479509196,0.8137084747042992,20,None,False,0.7983194077311052,0.8141788177282352,20,balanced,True,0.7996932479509196,0.8137084747042992,20,None,False
train_07,False,0.4927522319285783,0.823647674944289,0.826507438189261,20,None,False,0.8247502910570472,0.8243050357750361,20,balanced,True,0.823647674944289,0.826507438189261,20,None,False
train_08,False,0.489049308699376,0.8460265451826358,0.8411095500558378,20,None,False,0.8463275184121033,0.8418234726675232,20,balanced,True,0.8460265451826358,0.8411095500558378,20,None,False
train_09,True,0.49864743011722273,0.6204240363998369,0.6334741379351727,50,None,False,0.6135367374087439,0.627231937485509,50,balanced,True,0.6204240363998369,0.6334741379351727,50,None,False
train_10,False,0.4972881355932203,0.8368071738891478,0.8477427122593616,20,None,False,0.8402770944443351,0.8498388343135452,20,balanced,True,0.8368071738891478,0.8477427122593616,20,None,False
train_11,False,0.4968316077426504,0.8281288505544799,0.8166544351437908,20,None,False,0.8278953769342785,0.8168022060287958,20,balanced,True,0.8281288505544799,0.8166544351437908,20,None,False
train_12,False,0.49931218643793496,0.7948877046382947,0.7695051699332349,20,None,False,0.795845066016895,0.7710474138813794,20,balanced,True,0.7948877046382947,0.7695051699332349,20,None,False
train_13,True,0.5,0.6283801935207741,0.644000096000384,50,None,False,0.6283801935207741,0.644000096000384,50,balanced,True,0.6283801935207741,0.644000096000384,50,None,False
train_14,False,0.4978393950306086,0.7975249216637995,0.8044250066087149,20,None,False,0.7963284386008028,0.8052203726355042,20,balanced,True,0.7975249216637995,0.8044250066087149,20,None,False
train_15,True,0.5,0.8410969558065426,0.843626698522491,70,None,False,0.8410969558065426,0.843626698522491,70,balanced,True,0.8410969558065426,0.843626698522491,70,None,False
train_16,True,0.4986180210060807,0.892160096009601,0.89325466058738,20,None,False,0.882979817981798,0.8855544831752923,20,balanced,True,0.892160096009601,0.89325466058738,20,None,False
